"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.459541640E-3,7.060641539E-1,9.802985680E0,-2.434360914E0,1.012537248E1
1.446454157E-2,-3.310292968E-1,1.154477299E1,-1.854960169E0,1.169753141E1
2.446854161E-2,-9.824225691E-1,1.441835204E1,-1.609806297E0,1.454116591E1
3.447354166E-2,-1.646557509E0,1.671993774E1,-1.682961981E0,1.688489949E1
4.447754158E-2,-2.914208719E0,1.887719545E1,-2.570576334E0,1.927301178E1
5.448254163E-2,-3.038468776E0,1.928496507E1,-2.566137713E0,1.969079056E1
6.448654167E-2,-3.780830691E0,2.001384038E1,-2.510521921E0,2.052196891E1
7.449154160E-2,-4.650534145E0,1.990239713E1,-1.629800851E0,2.050339314E1
8.449554164E-2,-5.377772529E0,1.847642261E1,1.634431846E0,1.931243116E1
9.450054157E-2,-5.865819154E0,1.473512144E1,6.285946276E0,1.706003396E1
1.045045416E-1,-5.385211941E0,1.115459764E1,6.606547941E0,1.403823465E1
1.145095417E-1,-4.710025764E0,9.510271726E0,4.736873839E0,1.162185806E1
1.245135416E-1,-3.843247671E0,9.025377919E0,3.223071806E0,1.032551166E1
1.345185416E-1,-3.296162294E0,8.646543249E0,2.446198456E0,9.571378318E0
1.445225417E-1,-2.990195918E0,8.067990496E0,2.090787147E0,8.854667310E0
1.545275416E-1,-2.585821487E0,7.534652508E0,1.219772381E0,8.058865047E0
1.645315416E-1,-2.177739336E0,7.067993243E0,-2.151583133E-1,7.399011434E0
1.745365416E-1,-1.804156635E0,6.671958988E0,-1.718935952E0,7.122131613E0
1.845405416E-1,-1.515016499E0,6.340909519E0,-3.607644349E0,7.451007064E0
1.945455417E-1,-1.264830806E0,6.340597277E0,-6.005921949E0,8.824628562E0
2.045495416E-1,-1.209771377E0,6.651454557E0,-8.127723312E0,1.057190999E1
2.145545416E-1,-1.339757027E0,7.166646881E0,-9.345841590E0,1.185329201E1
2.245585417E-1,-1.472704585E0,7.751478959E0,-9.158582754E0,1.208858647E1
2.345635416E-1,-1.725402534E0,8.287989646E0,-6.862058986E0,1.089750613E1
2.445675416E-1,-2.033358133E0,8.700635256E0,-4.875011970E0,1.017847439E1
2.545725416E-1,-2.276882679E0,9.116149510E0,-3.742592532E0,1.011411763E1
2.645765416E-1,-2.393346935E0,9.571066396E0,-3.098422033E0,1.034087233E1
2.745815417E-1,-2.398450970E0,1.000982275E1,-2.872641156E0,1.068649548E1
2.845855416E-1,-2.370842172E0,1.034269655E1,-2.798161662E0,1.097369460E1
2.945905416E-1,-2.323402249E0,1.060911324E1,-2.641722330E0,1.117721694E1
3.045945417E-1,-2.377125882E0,1.087346001E1,-2.284981511E0,1.136239414E1
3.145995416E-1,-2.549321413E0,1.094968782E1,-1.853301752E0,1.139427182E1
3.246035416E-1,-2.638348779E0,1.088918434E1,-1.599374279E0,1.131782744E1
3.346085416E-1,-2.573404632E0,1.088985443E1,-1.455955528E0,1.128411040E1
3.446125416E-1,-2.432291730E0,1.084390467E1,-1.425526764E0,1.120439370E1
3.546175417E-1,-2.248580401E0,1.077083085E1,-1.356565726E0,1.108635114E1
3.646215416E-1,-1.916795936E0,1.055193214E1,-1.224018776E0,1.079423923E1
