"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.014129166E-2,1.012761140E-1,1.670815560E0,8.717078796E-1,1.887261539E0
2.014629170E-2,2.076147473E-1,1.690907763E0,8.694450071E-1,1.912644129E0
3.015129175E-2,4.069521761E-1,1.646659543E0,8.046982035E-1,1.877401641E0
4.015629168E-2,5.718448269E-1,1.589819929E0,7.354300404E-1,1.842658747E0
5.016129173E-2,8.375072229E-1,1.533956800E0,6.851635739E-1,1.877202955E0
6.016629166E-2,1.155367128E0,1.452064791E0,6.053846021E-1,1.951885210E0
7.017129171E-2,1.438870549E0,1.255948008E0,5.214162464E-1,1.979805232E0
8.017629175E-2,1.754760527E0,1.014327024E0,4.363930531E-1,2.073278253E0
9.018129169E-2,2.275855615E0,9.152670050E-1,1.827851307E-1,2.459805455E0
1.001862917E-1,2.294916369E0,8.819209188E-1,-4.594259664E-2,2.458970591E0
1.101912917E-1,2.364871872E0,7.984115696E-1,-1.779997694E-1,2.502351679E0
1.201962917E-1,2.731309276E0,5.506784910E-1,-3.152457614E-1,2.804046549E0
1.302012918E-1,3.153358963E0,4.243593371E-1,-6.719247468E-1,3.251958865E0
1.402072917E-1,3.658431510E0,2.352849412E-1,-1.267645802E0,3.878969708E0
1.502122917E-1,4.605344231E0,-6.994790196E-2,-1.890299571E0,4.978686640E0
1.602172917E-1,5.336160818E0,-2.510841179E-1,-2.641928737E0,5.959651245E0
1.702222917E-1,5.420675304E0,-4.540017968E-1,-3.407201797E0,6.418634003E0
1.802272918E-1,5.164108252E0,-5.616911370E-1,-3.963107114E0,6.533737749E0
1.902322917E-1,4.575119389E0,-5.752338731E-1,-4.285694493E0,6.295219513E0
2.002372917E-1,3.816875852E0,-4.743360740E-1,-4.189983759E0,5.687662075E0
2.102422917E-1,3.386324898E0,-2.095232785E-1,-3.870201581E0,5.146800618E0
2.202472917E-1,2.200866829E0,3.679641116E-1,-3.425351554E0,4.088061356E0
2.302522917E-1,5.408662784E-1,1.205894088E0,-2.899198040E0,3.186230713E0
2.402572917E-1,-8.813361973E-1,2.016884188E0,-2.142973985E0,3.071955862E0
2.502622918E-1,-1.908918859E0,2.703889927E0,-1.333520533E0,3.568370631E0
2.602672917E-1,-2.418346413E0,3.069124559E0,-4.891698754E-1,3.937919768E0
2.702722917E-1,-2.373366122E0,3.145181047E0,2.720428777E-1,3.949561734E0
2.802772917E-1,-2.087081181E0,2.978380449E0,5.527500133E-1,3.678612583E0
2.902822917E-1,-1.300432456E0,2.462412200E0,8.157155272E-1,2.901721943E0
3.002872918E-1,-4.436867237E-2,1.761756136E0,9.993031883E-1,2.025922043E0
3.102922917E-1,1.126372540E0,1.058110975E0,8.374674618E-1,1.757744488E0
3.202972917E-1,2.108346335E0,5.291291624E-1,6.496445163E-1,2.268730909E0
3.303022917E-1,2.400282610E0,3.223651850E-1,5.833287585E-1,2.491093808E0
3.403072917E-1,2.024569768E0,5.129312056E-1,6.652320237E-1,2.191920348E0
3.503122918E-1,1.279815758E0,1.014046358E0,7.637071753E-1,1.802627815E0
3.603172917E-1,4.151990891E-1,1.476649994E0,9.982237923E-1,1.830119184E0
3.703222917E-1,-2.369578296E-1,1.696790062E0,1.279040417E0,2.138034124E0
3.803272917E-1,-4.837202704E-1,1.751552160E0,1.571462011E0,2.402376557E0
3.903322917E-1,-6.536918128E-1,1.575746850E0,1.689329892E0,2.400859555E0
4.003382917E-1,-5.248121631E-1,1.267856448E0,1.807518492E0,2.269363540E0
4.103432917E-1,-2.147536129E-1,8.183897513E-1,1.816582261E0,2.003959084E0
4.203482918E-1,4.044694483E-2,4.282003731E-1,1.837011263E0,1.886690726E0
4.303532917E-1,2.602034354E-1,1.424761802E-1,1.912419880E0,1.935291990E0
4.403582917E-1,2.550888759E-1,-1.230277562E-1,2.003437639E0,2.023355761E0
4.503632917E-1,1.727916545E-1,-2.339862746E-1,2.212088220E0,2.231129944E0
4.603682917E-1,8.245158792E-3,-3.353612065E-1,2.414450998E0,2.437644097E0
4.703732918E-1,-1.521995151E-1,-2.732216763E-1,2.667646253E0,2.685917220E0
4.803782917E-1,-3.301887596E-1,-2.461239249E-1,2.822920235E0,2.852802176E0
4.903832917E-1,-4.053833681E-1,-2.790285462E-1,2.892150683E0,2.933722580E0
5.003882917E-1,-4.265672457E-1,-3.320487589E-1,2.838920555E0,2.889928358E0
5.103932917E-1,-4.654535687E-1,-4.136016297E-1,2.797162957E0,2.865629764E0
5.203982918E-1,-4.852078021E-1,-7.079259074E-1,2.711797117E0,2.844367998E0
5.304032917E-1,-4.307474202E-1,-9.652893502E-1,2.595644225E0,2.802623023E0
5.404082917E-1,-4.426956207E-1,-1.162242284E0,2.561118170E0,2.847123605E0
5.504132917E-1,-4.277144694E-1,-1.303366588E0,2.718146316E0,3.044671333E0
5.604182917E-1,-5.068758291E-1,-1.678965409E0,2.203134964E0,2.815963711E0
5.704232918E-1,-5.793438810E-1,-1.872060935E0,2.122581382E0,2.888875768E0
5.804282917E-1,-7.521027911E-1,-1.891935622E0,2.130489449E0,2.946873648E0
5.904332917E-1,-6.962782538E-1,-1.481819517E0,2.353186504E0,2.866719242E0
6.004382917E-1,-6.969343114E-1,-1.385015938E0,1.779915833E0,2.360526839E0
6.104432917E-1,-9.374911022E-1,-1.277549962E0,1.862137041E0,2.445113051E0
6.204482918E-1,-9.918240148E-1,-9.952651012E-1,1.692133339E0,2.199450553E0
6.304532917E-1,-1.041348177E0,-6.952526522E-1,1.455615512E0,1.920051769E0
6.404582917E-1,-6.608955824E-1,-2.725241035E-1,1.122390294E0,1.330718727E0
6.504632917E-1,-7.609730172E-1,-1.372552013E-1,7.797557357E-1,1.098152053E0
6.604692917E-1,-4.598314708E-1,5.537430167E-2,3.166162026E-1,5.610321868E-1
6.704742917E-1,1.839592516E-2,2.867486250E-1,-2.095685944E-1,3.556433323E-1
6.804792917E-1,2.696501970E-1,5.683183712E-1,-6.404475769E-1,8.977026783E-1
6.904842918E-1,3.209203380E-1,6.534228408E-1,-6.687595028E-1,9.885294861E-1
