"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.283874951E-3,1.689599156E0,6.000102800E0,-3.725517785E0,7.261918595E0
1.828887500E-2,1.150864918E0,7.142461628E0,-3.933280467E0,8.234679313E0
2.829387493E-2,1.031616510E0,7.856872097E0,-4.300176877E0,9.015885589E0
3.829787497E-2,7.959148085E-1,8.472880944E0,-4.458404287E0,9.607318078E0
4.830287502E-2,4.991079493E-1,8.896850272E0,-4.351443802E0,9.916557702E0
5.830787495E-2,2.910286407E-1,9.206804742E0,-4.212520390E0,1.012893278E1
6.831287500E-2,-2.378815435E-1,9.368539896E0,-3.960174735E0,1.017394276E1
7.831787504E-2,-6.697703402E-1,9.519211534E0,-3.644778262E0,1.021510593E1
8.832187497E-2,-7.464076030E-1,9.738871545E0,-3.469749463E0,1.036541869E1
9.832687501E-2,-3.657795918E-1,9.851157382E0,-3.588731530E0,1.049085747E1
1.083318749E-1,-7.351265699E-2,9.800025820E0,-3.546269635E0,1.042218492E1
1.183368750E-1,-1.962509760E-1,9.799583185E0,-3.069660748E0,1.027098643E1
1.283408750E-1,-5.557608908E-1,9.923770444E0,-2.313114073E0,1.020492953E1
1.383458750E-1,-1.039514783E0,1.016549200E1,-1.448963428E0,1.032072253E1
1.483508750E-1,-1.629426044E0,1.046365322E1,-5.023458450E-1,1.060167059E1
1.583558749E-1,-2.167229551E0,1.068856052E1,4.484533739E-1,1.091527922E1
1.683608750E-1,-2.514423183E0,1.105616445E1,1.229484680E0,1.140494317E1
1.783648750E-1,-2.570498566E0,1.142321405E1,1.877432042E0,1.185841614E1
1.883698750E-1,-2.315817241E0,1.159427435E1,2.011062846E0,1.199310556E1
1.983748750E-1,-1.812769292E0,1.174480858E1,1.783791368E0,1.201701180E1
2.083798749E-1,-1.165895917E0,1.188589020E1,1.643275759E0,1.205545745E1
2.183838750E-1,-8.064345342E-1,1.198619450E1,1.572290561E0,1.211574566E1
2.283888750E-1,-6.137972836E-1,1.199691479E1,1.638365560E0,1.212381760E1
2.383938750E-1,-5.074041250E-1,1.185897897E1,1.608309117E0,1.197829284E1
2.483988750E-1,-3.576810519E-1,1.162839051E1,1.571674411E0,1.173957248E1
2.584038749E-1,-1.373135273E-1,1.143720293E1,1.615928039E0,1.155160982E1
2.684078750E-1,-9.204526082E-2,1.121296689E1,1.743391932E0,1.134806214E1
2.784128750E-1,-1.150164860E-1,1.100555913E1,1.810590327E0,1.115409333E1
2.884178750E-1,-1.796304117E-1,1.086759525E1,1.882638256E0,1.103092110E1
2.984228750E-1,-3.869039740E-1,1.070315400E1,1.954808685E0,1.088707846E1
3.084268750E-1,-5.727875443E-1,1.056437736E1,2.024385289E0,1.077182855E1
3.184318750E-1,-6.572221423E-1,1.043424640E1,2.129821550E0,1.066965692E1
3.284368750E-1,-7.513296430E-1,1.031240212E1,2.108427319E0,1.055251627E1
3.384418749E-1,-8.241460428E-1,1.020999165E1,2.079515469E0,1.045215436E1
3.484468750E-1,-7.928658510E-1,1.013487364E1,2.116722618E0,1.038387281E1
3.584508750E-1,-7.508839390E-1,1.008907006E1,2.117009131E0,1.033609641E1
3.684558750E-1,-6.227837232E-1,1.003807883E1,2.106426694E0,1.027559826E1
3.784608750E-1,-4.648498437E-1,1.002544534E1,2.027324392E0,1.023892982E1
3.884658749E-1,-2.799909979E-1,1.003520200E1,1.941346933E0,1.022509179E1
3.984698750E-1,-6.411881268E-2,1.003804492E1,1.876369164E0,1.021211135E1
4.084748750E-1,9.142852575E-2,1.003565809E1,1.838806797E0,1.020313691E1
4.184798750E-1,3.716162825E-1,1.006674539E1,1.709761086E0,1.021766825E1
4.284848750E-1,6.927348411E-1,1.010503296E1,1.529771948E0,1.024362118E1
4.384888749E-1,1.074947448E0,1.008571844E1,1.291010252E0,1.022467290E1
4.484938750E-1,1.541507310E0,9.934893018E0,9.428845739E-1,1.009788965E1
4.584988750E-1,2.154695167E0,9.675150343E0,5.710472667E-1,9.928612210E0
4.685038750E-1,2.751518715E0,9.269975721E0,3.935541585E-1,9.677716155E0
4.785088750E-1,3.157699058E0,8.245288600E0,-3.319405854E-2,8.829323263E0
4.885128749E-1,3.595071082E0,6.488470438E0,-1.248096075E0,7.522135901E0
4.985178750E-1,4.383279260E0,3.735922905E0,-2.612069053E0,6.324014687E0
5.085228750E-1,6.891040125E0,-3.122828895E0,-4.150467983E0,8.629303495E0
5.185278750E-1,1.119399852E1,-1.875097044E1,-2.421775805E0,2.197201614E1
5.285328750E-1,1.844319289E1,-4.520618076E1,-3.188615626E0,4.892767532E1
5.385368749E-1,2.324337687E1,-7.526093471E1,-3.758461583E0,7.885802999E1
5.485420834E-1,1.103307262E1,-8.308663296E1,-1.676297179E0,8.383273370E1
5.585470833E-1,6.738527784E0,-5.412924703E1,-6.910058194E0,5.498301596E1
5.685520833E-1,9.347895716E0,-2.973213499E1,-8.809260151E0,3.238805443E1
5.785560834E-1,8.339527590E0,-1.598993860E1,-8.376217114E0,1.988433730E1
5.885610833E-1,7.472527596E0,-8.363513453E0,-7.309235913E0,1.338700697E1
5.985660834E-1,4.425211982E0,-3.599381064E0,-5.766558575E0,8.111180120E0
6.085710833E-1,1.198794033E0,-9.545673108E-1,-3.728090560E0,4.030752425E0
6.185760833E-1,-9.317806383E-1,-8.631835163E-2,-2.054751488E0,2.257801960E0
6.285800834E-1,-4.403041095E0,3.112636614E-1,-7.375193675E0,8.595181073E0
6.385850833E-1,-5.118714563E0,2.252049261E-1,-8.904171571E0,1.027308266E1
6.485900834E-1,-1.942851421E-1,-1.522869310E0,1.677211245E0,2.273744755E0
6.585950833E-1,1.411389220E-1,-9.481581777E-1,3.625700551E0,3.750283804E0
6.686000833E-1,-2.770239014E-1,3.322580892E-1,2.688500640E0,2.723081595E0
6.786040834E-1,-1.084817621E0,1.551779698E0,2.094760330E0,2.823627160E0
6.886090833E-1,-1.714194591E0,2.724914761E0,1.757381834E0,3.667698796E0
6.986140833E-1,-1.943278707E0,3.894104707E0,1.466769369E0,4.592580536E0
7.086190833E-1,-1.994623253E0,4.774670826E0,1.179410221E0,5.307260299E0
7.186230833E-1,-2.235428405E0,5.461348536E0,1.153232310E0,6.012770804E0
7.286280834E-1,-2.823847895E0,5.953703974E0,1.708591497E0,6.807348445E0
7.386330833E-1,-3.148095299E0,6.277342098E0,1.872932755E0,7.267971171E0
7.486380833E-1,-3.230824337E0,6.585495626E0,1.701035579E0,7.529973478E0
7.586430833E-1,-3.381009779E0,6.743921256E0,1.898659335E0,7.779242142E0
7.686470833E-1,-3.183240281E0,6.744920545E0,1.297524635E0,7.570372648E0
7.786520834E-1,-3.252663688E0,6.783606309E0,1.058216225E0,7.597167709E0
7.886570833E-1,-3.474362623E0,6.668912589E0,9.441616789E-1,7.578722322E0
7.986620833E-1,-3.523161731E0,6.541719861E0,6.759555980E-1,7.460809828E0
8.086660833E-1,-3.449394720E0,6.377004381E0,3.713426328E-1,7.259642151E0
8.186710833E-1,-3.267357448E0,6.150883781E0,5.432984278E-2,6.965051881E0
8.286760834E-1,-3.290032366E0,5.566942819E0,-2.343460245E-1,6.470709650E0
8.386810833E-1,-3.748234218E0,4.332202662E0,-1.571522529E-1,5.730788470E0
8.486860833E-1,-4.213572889E0,2.788043640E0,1.601376951E-2,5.052488522E0
8.586900833E-1,-4.675982689E0,1.036180993E0,3.216638115E-1,4.800203409E0
8.686950833E-1,-5.131004241E0,-8.871366352E-1,6.574179509E-1,5.248467804E0
8.787000834E-1,-5.527961771E0,-3.090576823E0,9.550040978E-1,6.404846545E0
8.887050833E-1,-5.807672102E0,-5.146623323E0,1.228045972E0,7.856518554E0
8.987090833E-1,-5.944816207E0,-6.782431603E0,1.409391226E0,9.128450132E0
