"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.302166609E-3,3.031048952E-1,-5.569762346E-1,7.762371737E-1,1.002316942E0
1.130616665E-2,2.481491080E-1,-4.481808937E-1,1.514879090E-1,5.342215643E-1
2.131116658E-2,1.955951377E-1,-4.583290288E-1,-5.862003261E-1,7.693853253E-1
3.131458326E-2,4.125883073E-2,-4.719197121E-1,-1.236821766E0,1.324438970E0
4.131858330E-2,-2.265454003E-1,-4.408151561E-1,-1.687104149E0,1.758397347E0
5.132258334E-2,-4.993487815E-1,-3.961421362E-1,-1.892599280E0,1.997050283E0
6.132658327E-2,-6.060044800E-1,-3.780678079E-1,-1.958853496E0,2.085014081E0
7.133058331E-2,-5.990000273E-1,-4.383467540E-1,-2.020273234E0,2.152313372E0
8.133458334E-2,-5.798296385E-1,-4.279872420E-1,-1.967861132E0,2.095674813E0
9.133858327E-2,-4.851936226E-1,-3.555782470E-1,-1.698151878E0,1.801546153E0
1.013425833E-1,-2.285249752E-1,-2.264620775E-1,-1.306641029E0,1.345666941E0
1.113465833E-1,-1.172586009E-2,-6.941375881E-2,-1.056550353E0,1.058893014E0
1.213505833E-1,8.267378211E-2,3.695528001E-2,-9.814101237E-1,9.855792601E-1
1.313545833E-1,2.682410181E-4,7.108518541E-2,-1.014184352E0,1.016672551E0
1.413585832E-1,-1.916800614E-1,5.552779108E-2,-1.018071581E0,1.037446059E0
1.513625833E-1,-3.111465709E-1,9.274473399E-2,-1.004334717E0,1.055510303E0
1.613665833E-1,-3.122451165E-1,1.461055470E-1,-9.525979686E-1,1.013058110E0
1.713705832E-1,-2.419950597E-1,1.890013057E-1,-9.364315867E-1,9.854883151E-1
1.813745833E-1,-2.556412185E-1,2.440534258E-1,-1.017081063E0,1.076739706E0
1.913785833E-1,-3.345789953E-1,2.782888734E-1,-1.091871044E0,1.175402135E0
2.013825832E-1,-3.136570729E-1,3.156283155E-1,-1.118358346E0,1.203630917E0
2.113865833E-1,-2.453194211E-1,4.183220869E-1,-1.019148054E0,1.128644205E0
2.213905833E-1,-1.401070346E-1,5.637280145E-1,-9.028106815E-1,1.073539185E0
2.313945832E-1,-5.006327569E-2,6.137474361E-1,-9.032281727E-1,1.093166675E0
2.413985833E-1,-1.407990526E-1,6.669518360E-1,-9.958907533E-1,1.206833674E0
