"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.089874914E-3,2.013656086E-1,-3.216588414E-1,-1.894357538E-1,4.241443427E-1
1.409487496E-2,1.498853333E-1,-3.874713001E-1,-4.370676756E-2,4.177438247E-1
2.409987489E-2,1.740502676E-1,-3.856653875E-1,3.798468232E-2,4.248224604E-1
3.410487494E-2,2.479549804E-1,-3.290234095E-1,4.235313714E-2,4.141640551E-1
4.410987499E-2,3.030797522E-1,-2.420180100E-1,-1.022607851E-1,4.011076184E-1
5.411487492E-2,2.766038521E-1,-1.501936278E-1,-3.041645569E-1,4.377029751E-1
6.412087497E-2,2.111886386E-1,-1.202324948E-1,-4.169959384E-1,4.826407634E-1
7.412587490E-2,1.257189372E-1,-9.634866536E-2,-4.477090234E-1,4.749017647E-1
8.413087495E-2,5.080287538E-2,-4.723877817E-2,-4.077134836E-1,4.135731120E-1
9.413587500E-2,1.625123955E-2,-9.842618108E-3,-2.400206012E-1,2.407714038E-1
1.041408749E-1,3.379040144E-2,3.559726417E-2,8.319418430E-3,4.978121301E-2
1.141458750E-1,4.959513299E-2,3.641499728E-2,2.371999043E-1,2.450500436E-1
1.241508749E-1,4.231103718E-2,6.823817611E-2,3.359792572E-1,3.454399135E-1
1.341568750E-1,1.037670279E-1,1.233382434E-1,3.336076266E-1,3.705050159E-1
1.441618749E-1,1.680502935E-1,2.332062560E-1,3.488320220E-1,4.520064585E-1
1.541668749E-1,2.319868192E-1,3.325159514E-1,3.919382805E-1,5.639152045E-1
1.641718750E-1,3.001651344E-1,3.739013743E-1,3.575747788E-1,5.981313134E-1
1.741768749E-1,2.433635274E-1,4.138591996E-1,3.723980552E-1,6.076064146E-1
1.841818750E-1,1.645228145E-1,3.869532368E-1,4.536948180E-1,6.185786545E-1
1.941868749E-1,1.459342235E-1,3.355807695E-1,5.371655756E-1,6.499677731E-1
2.041928750E-1,9.307729438E-2,3.078848478E-1,6.253883654E-1,7.032546266E-1
2.141978750E-1,2.795926563E-2,2.766276795E-1,6.642355120E-1,7.200787519E-1
2.242020000E-1,-6.258355312E-2,2.507528731E-1,6.314320475E-1,6.822757031E-1
2.342070000E-1,-6.301346965E-2,2.463341323E-1,6.185044384E-1,6.687293491E-1
2.442119999E-1,4.515936211E-2,2.723036635E-1,6.362226713E-1,6.935185222E-1
2.542170000E-1,2.166488416E-1,3.170170292E-1,6.485538644E-1,7.536966448E-1
2.642219999E-1,3.224188332E-1,3.679506630E-1,5.616455287E-1,7.448404489E-1
2.742280000E-1,2.753861694E-1,3.795986089E-1,4.084630966E-1,6.219121702E-1
2.842329999E-1,1.727102320E-1,3.524271825E-1,2.239577150E-1,4.518747629E-1
2.942379999E-1,7.898075379E-2,2.972920319E-1,1.036927682E-1,3.246116170E-1
3.042430000E-1,4.435536996E-2,2.559297055E-1,3.360862613E-2,2.619101998E-1
3.142479999E-1,-1.638492152E-2,2.086222225E-1,-6.433808327E-2,2.189316933E-1
3.242530000E-1,-1.092190448E-1,1.447653651E-1,-2.020756799E-1,2.715149924E-1
3.342579999E-1,-1.649976084E-1,5.945858181E-2,-3.779681128E-1,4.166766468E-1
3.442629999E-1,-1.529025697E-1,-5.098772049E-3,-5.261581922E-1,5.479485710E-1
3.542689999E-1,-1.388416240E-1,-6.884102404E-2,-6.560880017E-1,6.741420838E-1
3.642739999E-1,-1.286429836E-1,-1.447922623E-1,-7.607338661E-1,7.850030774E-1
3.742790000E-1,-1.255365772E-1,-1.898590922E-1,-8.695049411E-1,8.988018412E-1
3.842839999E-1,-1.108525376E-1,-2.144872722E-1,-1.064756920E0,1.091787697E0
3.942890000E-1,-8.655399442E-2,-2.409874383E-1,-1.203725356E0,1.230658877E0
4.042939999E-1,-3.412793197E-2,-2.573681206E-1,-1.262969345E0,1.289377614E0
4.142989999E-1,6.361419797E-2,-2.127325228E-1,-1.314703755E0,1.333322112E0
4.243050000E-1,1.131396029E-1,-2.096510401E-1,-1.336831373E0,1.357892576E0
4.343099999E-1,5.530230783E-2,-2.416683465E-1,-1.220054875E0,1.244988286E0
4.443150000E-1,5.447127230E-2,-2.465998882E-1,-1.096407899E0,1.125117285E0
4.543199999E-1,5.749457516E-2,-2.164528137E-1,-1.059966881E0,1.083368467E0
4.643249999E-1,7.666079789E-2,-8.765063971E-2,-1.047391275E0,1.053844388E0
4.743300000E-1,1.037390343E-1,1.108076602E-1,-9.763633919E-1,9.880918974E-1
4.843349999E-1,2.282456975E-1,4.356748688E-1,-7.474981087E-1,8.947972465E-1
4.943410000E-1,3.307296270E-1,7.916735306E-1,5.616309106E-2,8.598158862E-1
5.043459999E-1,3.510246547E-1,1.275244112E0,1.331143786E0,1.876541935E0
5.143510000E-1,3.602941726E-1,1.834395511E0,2.893733817E0,3.445070998E0
5.243559999E-1,2.642595027E-1,2.302355196E0,5.346795149E0,5.827425753E0
5.343609999E-1,3.483091347E-2,2.606988700E0,8.212020866E0,8.615967153E0
5.443660000E-1,1.567414130E-1,2.719141220E0,1.022992598E1,1.058629691E1
5.543709999E-1,3.422822633E-1,2.897646773E0,1.087845002E1,1.126295649E1
5.643770000E-1,5.620524218E-1,3.245723920E0,1.057108996E1,1.107242384E1
5.743819999E-1,8.274476731E-1,3.744645197E0,9.719852892E0,1.044904673E1
5.843870000E-1,7.830157777E-1,4.206619380E0,8.848810717E0,9.829049365E0
5.943920000E-1,6.134443311E-1,4.518979102E0,8.303243862E0,9.473190841E0
6.043969999E-1,5.400152162E-1,4.406304426E0,8.333112609E0,9.441816609E0
6.144020000E-1,4.773902209E-1,4.011875231E0,8.508075920E0,9.418619864E0
6.244069999E-1,3.898505321E-1,3.467016766E0,8.365558224E0,9.063925921E0
6.344130000E-1,3.694398026E-1,2.747715101E0,8.046351120E0,8.510592835E0
6.444179999E-1,3.415260722E-1,1.924763352E0,7.936046906E0,8.173260947E0
6.544229999E-1,4.168022494E-1,1.098406185E0,7.829819369E0,7.917467500E0
6.644280000E-1,7.297433308E-1,3.579156715E-1,7.533018211E0,7.576740218E0
6.744329999E-1,1.098680273E0,-1.628771156E-1,6.972070840E0,7.059985772E0
6.844380000E-1,1.357480523E0,-3.055325130E-1,5.889371738E0,6.051512452E0
6.944429999E-1,1.225348359E0,-2.629013407E-1,4.348550892E0,4.525537601E0
7.044490000E-1,8.190095562E-1,-9.385453552E-2,2.485931455E0,2.619053365E0
7.144540000E-1,5.119873188E-1,-2.165487081E-2,6.439714015E-1,8.229818430E-1
7.244589999E-1,3.340789121E-1,-1.270874780E-1,-1.034196448E0,1.094222207E0
7.344640000E-1,2.115396908E-1,-3.787384835E-1,-2.346079506E0,2.385850148E0
7.444689999E-1,8.908233047E-2,-7.694172737E-1,-3.365438059E0,3.453420324E0
7.544740000E-1,1.529295400E-2,-1.282078630E0,-4.194536401E0,4.386125296E0
7.644789999E-1,1.485865206E-2,-1.863997040E0,-4.975522099E0,5.313240621E0
7.744839999E-1,1.158454750E-1,-2.322491545E0,-5.817663240E0,6.265188962E0
7.844900000E-1,7.960340917E-2,-2.687884929E0,-6.610611756E0,7.136613334E0
7.944949999E-1,-1.279093042E-1,-3.052560566E0,-7.209707531E0,7.830349257E0
8.045000000E-1,-4.405649684E-1,-3.391531551E0,-7.708022452E0,8.432686041E0
8.145049999E-1,-6.790034591E-1,-3.687237526E0,-8.193210374E0,9.010297581E0
8.245099999E-1,-8.698102389E-1,-3.903671044E0,-8.592650632E0,9.477808942E0
8.345150000E-1,-9.594994372E-1,-4.004752738E0,-8.955515971E0,9.856974687E0
8.445209999E-1,-7.927581891E-1,-4.094287058E0,-9.292805005E0,1.018567018E1
8.545260000E-1,-5.976338619E-1,-4.200096226E0,-9.570800348E0,1.046891560E1
8.645309999E-1,-2.918677527E-1,-4.297910788E0,-9.713633208E0,1.062600085E1
8.745360000E-1,-8.922313873E-2,-4.475897986E0,-9.499768957E0,1.050177289E1
8.845409999E-1,2.976159677E-2,-4.668790614E0,-9.168721826E0,1.028902092E1
8.945459999E-1,1.449836124E-1,-4.822152556E0,-8.915381852E0,1.013697238E1
9.045510000E-1,1.505696037E-1,-4.951395317E0,-8.860019245E0,1.015080922E1
9.145569999E-1,5.219586488E-2,-5.156507456E0,-8.924552041E0,1.030727523E1
9.245620000E-1,1.328896701E-2,-5.308447940E0,-8.876782043E0,1.034297131E1
9.345669999E-1,1.887527990E-1,-5.315628321E0,-8.830503670E0,1.030870152E1
9.445719999E-1,5.191543972E-1,-5.240526098E0,-8.716399350E0,1.018372489E1
9.545770000E-1,7.589219601E-1,-5.066273809E0,-8.531898061E0,9.951702235E0
9.645819999E-1,1.087371319E0,-4.913720537E0,-8.336151407E0,9.737476377E0
9.745870000E-1,1.339861546E0,-4.950884855E0,-8.034575998E0,9.532098472E0
9.845929999E-1,1.579225213E0,-4.964037582E0,-7.589993480E0,9.205629931E0
9.945980000E-1,1.840680683E0,-4.907251763E0,-7.003304912E0,8.747314155E0
1.004603000E0,1.917491608E0,-4.893847021E0,-6.256789135E0,8.171531253E0
1.014608000E0,2.204168897E0,-4.842918942E0,-5.303645037E0,7.512714229E0
1.024613000E0,2.382968712E0,-4.745834112E0,-4.417763799E0,6.907830215E0
1.034618000E0,2.183446804E0,-4.377859476E0,-3.494390214E0,6.011976090E0
1.044623000E0,1.440121560E0,-3.209087021E0,-2.168162767E0,4.131963141E0
1.054629000E0,3.611142446E-1,-1.032666231E0,-5.306763357E-1,1.215903128E0
1.064634000E0,-9.297755550E-1,2.125959903E0,1.200396536E0,2.612496878E0
1.074639000E0,-2.507882195E0,5.845944468E0,2.880622020E0,6.983016759E0
1.084644000E0,-4.350109760E0,9.305417449E0,3.587922860E0,1.088059921E1
1.094649000E0,-5.279231157E0,1.082846568E1,1.354932014E0,1.212277986E1
1.104654000E0,-4.223947896E0,9.282754226E0,-2.396808779E0,1.047644759E1
1.114659000E0,-1.579973803E0,6.484586132E0,-3.827017847E0,7.693649337E0
1.124665000E0,9.863115522E-1,3.450671167E0,4.500672054E-1,3.616974215E0
1.134670000E0,1.681988566E0,1.660802788E0,8.944792178E0,9.251846223E0
1.144675000E0,1.174113302E0,9.792612720E-1,1.671547047E1,1.678524494E1
1.154680000E0,-1.367583342E-2,6.716796023E-1,2.093768174E1,2.094845716E1
1.164685000E0,-8.352931747E-1,1.579708047E0,2.214095686E1,2.221295034E1
1.174690000E0,-6.494065346E-1,3.365805264E0,2.056823595E1,2.085192326E1
1.184695000E0,-5.372497024E-1,4.348008563E0,1.510238622E1,1.572500828E1
1.194701000E0,-6.580965934E-1,4.357982743E0,8.732623034E0,9.781810148E0
1.204706000E0,-4.999218086E-1,4.000262076E0,4.253634794E0,5.860497202E0
1.214711000E0,-8.385400604E-1,3.145112342E0,1.416399114E0,3.549798237E0
