"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-4.209167091E-4,2.296224976E-1,-6.046120387E-1,1.600739604E0,1.726455759E0
9.584083338E-3,-6.222606897E-3,-5.902009910E-1,8.864839397E-1,1.065002209E0
1.958908327E-2,-3.306027424E-1,-7.471349967E-1,1.040621222E0,1.323027363E0
2.959408332E-2,-9.160487777E-1,-1.262105711E0,8.505235635E-1,1.776357656E0
3.959908325E-2,-1.191909302E0,-2.073661821E0,1.546849764E0,2.848414529E0
4.960408329E-2,-9.596859634E-1,-3.027846140E0,3.634350922E0,4.826733473E0
5.960908323E-2,-1.053181772E0,-3.977149787E0,3.370049758E0,5.318284276E0
6.961408327E-2,-1.459690729E0,-5.170760044E0,3.985706602E0,6.689791744E0
7.961908332E-2,-1.998048552E0,-7.268894802E0,7.508413712E0,1.063979822E1
8.962408325E-2,-1.830315324E0,-1.024999128E1,1.080147377E1,1.500280677E1
9.962808329E-2,-5.690314391E-1,-1.345084016E1,9.766508410E0,1.663230544E1
1.096330833E-1,1.048458391E-1,-1.577885411E1,8.550501562E0,1.794698600E1
1.196380833E-1,-1.088886040E-1,-1.612982972E1,6.762450498E0,1.749039737E1
1.296430833E-1,-1.185735227E0,-1.547791195E1,3.620280767E0,1.593982934E1
1.396480832E-1,-1.678773036E0,-1.491359834E1,-2.201214299E-1,1.500940198E1
1.496530833E-1,-1.220706547E0,-1.498915723E1,-2.795790031E0,1.529645060E1
1.596580832E-1,-1.923300963E0,-1.702472386E1,-3.438683791E0,1.747469185E1
1.696630833E-1,-3.487750701E0,-1.951610433E1,-5.003702754E0,2.044699916E1
1.796680833E-1,-5.797230145E0,-2.189632807E1,-6.884329276E0,2.367384738E1
1.896730833E-1,-8.253840737E0,-2.283010736E1,-6.841607180E0,2.522196023E1
1.996780833E-1,-1.002112775E1,-2.008904727E1,-4.973003703E0,2.299399025E1
2.096830832E-1,-8.159145665E0,-1.234742496E1,-2.050143735E0,1.494100567E1
2.196880833E-1,-4.661293899E0,-4.958068160E0,1.157127725E0,6.902828787E0
2.296925833E-1,-8.710469981E-1,8.487338769E-1,5.331132798E0,5.468093724E0
2.396975833E-1,2.541819143E0,5.268048357E0,8.903063523E0,1.065259209E1
2.497025833E-1,4.940016636E0,8.264079797E0,1.030122225E1,1.410014039E1
2.597075832E-1,4.729401097E0,9.418962191E0,6.098041323E0,1.217662480E1
2.697125833E-1,1.890630084E0,8.924385395E0,-2.311820231E0,9.410826190E0
2.797175833E-1,-5.067607120E-1,9.025175605E0,-7.592436447E0,1.180490120E1
2.897215832E-1,-1.123446155E0,1.042292736E1,-8.590709356E0,1.355359116E1
2.997265833E-1,-1.923243368E0,1.172502861E1,-8.961270801E0,1.488218853E1
3.097315832E-1,-2.547130753E0,1.243700197E1,-8.539401793E0,1.529994366E1
3.197365833E-1,-3.077301013E0,1.255675879E1,-6.979980953E0,1.469224649E1
3.297415833E-1,-2.956245522E0,1.251908518E1,-4.814156488E0,1.373473640E1
3.397465833E-1,-2.580445849E0,1.271016049E1,-2.461411741E0,1.320096316E1
3.497515833E-1,-2.299949360E0,1.275659791E1,-1.151436191E0,1.301331482E1
3.597565832E-1,-2.090067062E0,1.222316110E1,-1.645011213E0,1.250920100E1
3.697615833E-1,-1.899038819E0,1.180908819E1,-1.678647906E0,1.207802844E1
3.797665833E-1,-1.821691558E0,1.159635947E1,-1.445230419E0,1.182720609E1
3.897715833E-1,-1.973587018E0,1.138830618E1,-1.169514467E0,1.161707052E1
3.997765833E-1,-2.229953218E0,1.110458056E1,-1.079853993E0,1.137763092E1
4.097815832E-1,-2.551870799E0,1.078617862E1,-1.552983640E0,1.119220497E1
4.197865833E-1,-2.697813208E0,1.055079311E1,-1.957845436E0,1.106483574E1
4.297915833E-1,-2.563383089E0,1.065352167E1,-2.260479192E0,1.118830742E1
4.397965833E-1,-1.995050685E0,1.102779376E1,-2.864500954E0,1.156710111E1
4.498005833E-1,-1.033218355E0,1.147713942E1,-2.621994410E0,1.181808462E1
4.598055832E-1,-1.846883994E-1,1.142250888E1,-2.043404235E0,1.160531429E1
4.698105833E-1,5.348740518E-4,1.101293364E1,-2.024431774E0,1.119745648E1
4.798155833E-1,-1.183299022E-1,1.055297061E1,-2.000101656E0,1.074148953E1
4.898205833E-1,-1.676124467E-1,1.027825906E1,-1.970282610E0,1.046674337E1
4.998255833E-1,-1.592227520E-1,9.989254582E0,-1.999606835E0,1.018866951E1
5.098305832E-1,-8.739299677E-2,9.756813142E0,-2.057793648E0,9.971838091E0
5.198355833E-1,2.520343635E-2,9.605000128E0,-2.109023589E0,9.833851899E0
5.298405833E-1,1.662884909E-1,9.413657597E0,-2.102195795E0,9.646959540E0
5.398455833E-1,2.723893983E-1,9.237741190E0,-2.135215607E0,9.485209748E0
5.498505833E-1,2.650600597E-1,9.014633660E0,-2.198515809E0,9.282636944E0
5.598555832E-1,5.305781756E-2,8.761201301E0,-2.221731010E0,9.038669816E0
5.698605833E-1,-3.062595411E-1,8.517750723E0,-2.236234882E0,8.811731880E0
