"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.959166632E-3,1.408631088E0,-3.410961556E-1,8.607113135E-1,1.685648865E0
1.496516669E-2,1.955712080E0,6.543443620E-2,1.503513126E0,2.467720228E0
2.497016662E-2,2.390424789E0,5.198022687E-1,2.089923367E0,3.217468687E0
3.497516667E-2,2.542052739E0,8.558569551E-1,2.781539197E0,3.864127788E0
4.498016671E-2,2.256852749E0,8.097849888E-1,3.682029411E0,4.393913591E0
5.498516664E-2,1.549276797E0,4.168672997E-1,4.393112522E0,4.676908656E0
6.499016669E-2,7.511239672E-1,-1.077706164E-1,4.841738974E0,4.900840541E0
7.499516662E-2,-2.300645471E-2,-7.267445862E-1,5.124677553E0,5.176002996E0
8.500116668E-2,-7.356969658E-1,-1.750844647E0,5.328529032E0,5.656847943E0
9.500616672E-2,-1.242338906E0,-2.776811138E0,5.341332096E0,6.146862176E0
1.050111667E-1,-1.211505076E0,-3.389269556E0,4.967717235E0,6.134582887E0
1.150161667E-1,-5.755034298E-1,-3.508557433E0,4.127088768E0,5.447388472E0
1.250211666E-1,1.467756379E-1,-3.003408287E0,3.235830431E0,4.417307212E0
1.350261667E-1,6.219887942E-1,-1.966909205E0,2.587277151E0,3.309018728E0
1.450311667E-1,7.067430156E-1,-7.812230945E-1,2.025798561E0,2.283342949E0
1.550371667E-1,3.396825913E-1,4.331231439E-1,1.262288729E0,1.377081245E0
1.650421667E-1,-3.101652619E-1,1.795943636E0,1.839241318E-1,1.831787138E0
1.750471666E-1,-1.130841567E0,3.138462596E0,-8.546068203E-1,3.443704827E0
1.850521667E-1,-1.822196757E0,4.238244923E0,-1.514377983E0,4.855559878E0
1.950571666E-1,-2.157073815E0,4.912361060E0,-1.849414669E0,5.674909095E0
2.050621667E-1,-2.803649274E0,4.580701725E0,-2.822536365E0,6.067123625E0
2.150671667E-1,-3.123446361E0,3.128274407E0,-3.673222042E0,5.747571497E0
2.250731667E-1,-2.630286054E0,9.364713478E-1,-3.785582138E0,4.703829869E0
2.350781667E-1,-1.961727988E0,-1.582095757E0,-3.045919883E0,3.953357006E0
2.450831666E-1,-1.153411819E0,-3.803105659E0,-2.335603342E0,4.609665329E0
2.550881667E-1,-3.192190906E-1,-5.670442629E0,-2.165171916E0,6.078140329E0
2.650931667E-1,5.576825783E-1,-6.814307114E0,-1.821495384E0,7.075566178E0
2.750981667E-1,1.211792467E0,-6.568970810E0,-1.549719870E0,6.857218835E0
2.851031667E-1,1.680490656E0,-4.651248967E0,-1.600708175E0,5.198118165E0
2.951091666E-1,1.908954527E0,-2.214279757E0,-1.862785497E0,3.466570645E0
3.051141667E-1,1.613969953E0,-5.070091456E-1,-1.873908071E0,2.524576943E0
3.151191666E-1,1.366802592E0,7.579196012E-1,-1.502716881E0,2.168121185E0
3.251241667E-1,1.186610556E0,1.554470587E0,-1.041026727E0,2.215436765E0
3.351291667E-1,5.826414183E-1,1.738034567E0,-1.073112592E0,2.124101177E0
3.451341667E-1,3.851999491E-2,1.670205111E0,-9.975558941E-1,1.945812597E0
3.551391667E-1,-4.622108491E-1,1.387043753E0,-5.699225548E-1,1.569184807E0
3.651451666E-1,-1.007358020E0,1.099912135E0,-1.640307713E-1,1.500494245E0
3.751501667E-1,-1.637990169E0,9.101764190E-1,5.513550138E-1,1.953311357E0
3.851551666E-1,-2.355995214E0,7.608046174E-1,1.021820816E0,2.678367953E0
3.951601667E-1,-2.776205952E0,7.773955071E-1,9.956849313E-1,3.050090448E0
4.051651667E-1,-2.848665817E0,8.367365599E-1,6.183119188E-1,3.032710774E0
4.151701666E-1,-2.578606900E0,9.150301927E-1,1.661088717E-1,2.741183313E0
4.251751667E-1,-2.192328140E0,9.757804245E-1,-2.741402739E-1,2.415285283E0
4.351801666E-1,-1.745187319E0,9.898651975E-1,-6.990903260E-1,2.124673898E0
4.451861667E-1,-1.246051303E0,1.029437399E0,-9.889571249E-1,1.894840733E0
4.551911667E-1,-8.446380486E-1,1.081146666E0,-9.658443971E-1,1.677839964E0
4.651961667E-1,-5.512376310E-1,1.155329121E0,-7.250632194E-1,1.471178091E0
4.752011667E-1,-3.373979379E-1,1.246416462E0,-3.632859005E-1,1.341405237E0
4.852061666E-1,-1.557762569E-1,1.321068449E0,-3.688365161E-2,1.330732315E0
4.952111667E-1,-1.928221688E-1,1.369057717E0,2.019026023E-1,1.397234441E0
