"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.335416787E-4,-7.231371465E-1,9.747776270E-2,-7.350435394E-1,1.035721126E0
1.084054168E-2,-8.704046814E-1,5.709104419E-2,-1.060351628E0,1.373029232E0
2.084754169E-2,-7.965255502E-1,-9.618991345E-2,-9.617412597E-1,1.252458264E0
3.085554167E-2,-6.185371828E-1,-1.136233869E-1,-4.504297328E-1,7.735537892E-1
4.086254167E-2,-3.741618678E-1,-6.087828577E-3,4.596689183E-1,5.927306972E-1
5.087054169E-2,-7.324865520E-2,4.641870618E-2,1.133847620E0,1.137158955E0
6.087754169E-2,2.331156242E-1,-1.108988768E-1,1.446610508E0,1.469463649E0
7.088454167E-2,4.213611773E-1,-2.590132347E-1,1.383417894E0,1.469176017E0
8.089254168E-2,3.508629061E-1,-3.254352656E-1,9.950089931E-1,1.104108594E0
9.089954168E-2,4.018060416E-2,-2.716899982E-1,4.095489246E-1,4.931128245E-1
1.009075417E-1,-3.362514451E-1,-2.189907977E-1,-1.315518272E-1,4.222888668E-1
1.109145417E-1,-4.800638603E-1,-2.377194294E-1,-5.420006382E-1,7.620607121E-1
1.209215417E-1,-3.126903820E-1,-2.068768287E-1,-8.354770696E-1,9.157484540E-1
1.309295417E-1,-1.544199952E-1,-2.137174863E-1,-8.185242373E-1,8.599433853E-1
1.409365417E-1,-2.908206260E-1,-6.009329706E-2,-5.704210299E-1,6.430925223E-1
1.509445417E-1,-3.906869763E-1,1.454886657E-1,-3.300349778E-1,5.317201819E-1
1.609515417E-1,-6.350814410E-1,1.582548916E-2,2.397504598E-1,6.790133767E-1
1.709585417E-1,-7.145171812E-1,-3.799865717E-1,5.544066757E-1,9.809645044E-1
1.809665417E-1,-3.730298468E-1,1.561145183E-1,-5.074289757E-1,6.488506568E-1
1.909735417E-1,-3.757477789E-1,3.893716452E-1,-1.918301886E-1,5.741040782E-1
2.009815417E-1,-1.846467380E-1,1.539718062E-1,-3.703538686E-1,4.415469657E-1
2.109885417E-1,2.761515699E-1,-3.535931173E-1,-7.620915896E-1,8.843479932E-1
2.209955417E-1,8.719218877E-1,-8.342509085E-1,2.209738809E-1,1.226805532E0
2.310035417E-1,3.305379114E-1,2.962111741E-2,-4.502104622E-1,5.593050883E-1
2.410105417E-1,-4.726381887E-1,5.712004638E-1,-6.882868642E-1,1.011630187E0
2.510185417E-1,-4.080797385E-1,5.276217502E-1,-8.077928424E-3,6.670674908E-1
2.610255417E-1,-2.424780397E-1,1.311682498E-1,6.191716057E-1,6.777714857E-1
2.710325417E-1,2.358459815E-2,-2.339506066E-1,5.464673263E-1,5.949081091E-1
2.810405417E-1,4.813463008E-1,-3.623294422E-1,1.633080554E-1,6.242166347E-1
2.910475417E-1,8.734395325E-1,-4.104084653E-1,-2.615629131E-1,9.998734334E-1
3.010555417E-1,9.736024828E-1,-3.598531464E-1,-7.254757404E-1,1.266377168E0
3.110625417E-1,6.707006322E-1,-2.894257727E-1,-8.746879131E-1,1.139598860E0
3.210695417E-1,1.151400085E-1,-5.921153694E-1,-6.112913132E-1,8.587985223E-1
3.310775417E-1,-5.603243503E-1,-8.557101899E-1,-3.039037710E-1,1.067033649E0
3.410845417E-1,-9.569959518E-1,-4.537205458E-1,3.424948096E-2,1.059658725E0
3.510925417E-1,-4.612652812E-1,-2.763689402E-1,2.585083276E-1,5.966338963E-1
3.610995417E-1,2.979548138E-1,-4.852469784E-1,-1.494583404E-1,5.887100276E-1
3.711065417E-1,8.283203700E-1,-8.719745126E-1,-7.038410425E-1,1.393501489E0
3.811145417E-1,1.041714213E0,-1.173572727E0,-9.827000195E-1,1.851523906E0
3.911215417E-1,1.012948470E0,-1.243242886E0,-8.652832514E-1,1.822205417E0
4.011295417E-1,6.021454639E-1,-9.756596795E-1,-5.093626499E-1,1.254568164E0
4.111365417E-1,-6.149428993E-2,-5.706452706E-1,-1.753556585E-1,6.001393001E-1
4.211435417E-1,-8.426251446E-1,-2.331562623E-1,1.729963070E-1,8.912388564E-1
4.311515417E-1,-1.532392231E0,-1.349215776E-2,2.773129731E-1,1.557340834E0
4.411585417E-1,-1.584296064E0,-2.442820519E-2,2.836525244E-1,1.609673728E0
4.511665417E-1,-1.136665905E0,-4.154680610E-1,1.025081223E-1,1.214549713E0
4.611735417E-1,-3.596613212E-1,-4.750584975E-1,-2.184408671E-1,6.346284380E-1
4.711805417E-1,4.854705613E-1,-1.592120808E0,-6.162152535E-1,1.774894806E0
4.811885417E-1,1.115853545E0,-2.543179790E0,-9.150658607E-1,2.924079019E0
4.911955417E-1,1.171146205E0,-1.901291459E0,-1.757989359E0,2.842009717E0
5.012035417E-1,6.037204845E-1,-5.784230907E-1,-1.654615849E0,1.853862267E0
5.112105417E-1,-2.999062855E-1,2.402264231E-1,-5.538313097E-1,6.740783590E-1
5.212175417E-1,-9.187544306E-1,4.045213424E-1,8.407424873E-1,1.309425504E0
5.312255417E-1,-1.034220494E0,1.988947946E-1,2.021962495E0,2.279803391E0
5.412325417E-1,-9.712688591E-1,-1.459095190E-1,2.180570558E0,2.391556134E0
5.512405417E-1,-9.012898207E-1,-5.817767613E-1,1.278562700E0,1.668984757E0
5.612475417E-1,-5.954638506E-1,-7.913292758E-1,-6.703189552E-2,9.926089336E-1
5.712545417E-1,-4.355855526E-1,7.605765760E-4,-9.770270509E-1,1.069727634E0
5.812625417E-1,-6.495592931E-1,9.652371638E-1,-1.214417574E0,1.681790743E0
5.912695417E-1,-1.010645763E0,6.271885769E-1,-3.746989346E-1,1.247064418E0
6.012775417E-1,-1.278513437E0,6.888750941E-2,9.120089364E-1,1.571974045E0
6.112845417E-1,-1.356607972E0,1.345827314E-1,1.576065524E0,2.083861856E0
6.212915417E-1,-1.235533624E0,4.229136130E-1,1.267150689E0,1.819634614E0
6.312995417E-1,-9.136085884E-1,3.897673555E-1,7.199010050E-1,1.226726009E0
6.413065417E-1,-2.303316369E-1,-1.624859369E-1,6.401759738E-1,6.994852536E-1
6.513145417E-1,-3.468330782E-1,4.812901676E-2,2.403930688E-1,4.247333445E-1
6.613215417E-1,-7.799752256E-1,1.129002764E0,-1.578695601E-1,1.381278897E0
6.713285417E-1,-1.026649520E0,1.944556177E0,3.046808660E-2,2.199144439E0
6.813365417E-1,-1.399390587E0,1.243344627E0,2.408064669E-1,1.887375859E0
6.913435417E-1,-1.965118203E0,-1.667855407E-1,2.909071648E-1,1.993522999E0
7.013515417E-1,-2.298036589E0,-1.241859435E0,2.040058458E-1,2.620077366E0
7.113585417E-1,-1.982985979E0,-1.803271075E0,4.526393956E-1,2.718253554E0
7.213655417E-1,-1.398105808E0,-1.828315284E0,4.931413043E-1,2.353853218E0
7.313735417E-1,9.175193524E-1,-1.744601136E0,7.870545226E-1,2.122481969E0
7.413805417E-1,2.026275401E0,-9.600552151E-1,2.008476477E0,3.010228525E0
7.513885417E-1,1.384530327E0,-5.249869949E-1,4.613096470E-1,1.550916555E0
7.613955417E-1,8.622747128E-1,-1.285071820E-1,-7.415614307E-2,8.749462324E-1
7.714025417E-1,1.410408349E-1,1.739647521E-1,1.828775167E-1,2.891374037E-1
7.814105417E-1,-6.598930773E-1,-1.642228523E-1,1.886756158E-1,7.057099310E-1
7.914175417E-1,-1.315792799E0,-2.392549814E-1,-1.408968472E-1,1.344769704E0
8.014255417E-1,-1.704757185E0,2.782083280E-2,-3.945654345E-1,1.750043697E0
8.114325417E-1,-1.626916419E0,-2.674340292E-1,-3.721033555E-1,1.690218596E0
8.214395417E-1,-1.538087273E0,-5.989289837E-1,8.752170861E-2,1.652903033E0
8.314475417E-1,-1.259908620E0,-3.306467427E-1,3.231522202E-1,1.342059744E0
8.414545417E-1,-5.163114810E-1,-4.241000496E-1,5.088890254E-2,6.700955737E-1
8.514625417E-1,-7.667687774E-2,-1.200976872E0,-7.157611763E-1,1.400192434E0
8.614695417E-1,-8.138400328E-1,-2.416465949E0,-1.102977830E0,2.778165469E0
8.714765417E-1,-2.375215597E0,-4.906906777E0,-1.146161857E0,5.570733367E0
8.814845417E-1,-1.403586695E0,-2.751839142E0,-2.046985070E0,3.705782259E0
8.914915417E-1,1.408839834E-1,-1.300808870E0,-6.633151603E-1,1.466948879E0
9.014995417E-1,-7.401902586E-1,-2.790725465E0,2.169977742E-1,2.895361510E0
9.115065417E-1,-3.029174627E0,-2.210740437E0,-8.490566432E-2,3.751064005E0
9.215135417E-1,-4.193695571E0,-1.286959886E0,2.254589877E0,4.932192596E0
9.315215417E-1,-3.254181917E0,-2.482984459E0,3.782391313E0,5.573275143E0
9.415285417E-1,-1.401376448E0,-3.723370395E0,3.945024599E0,5.602728098E0
9.515365417E-1,-1.192735514E0,-3.393836816E0,3.922423357E0,5.322231800E0
9.615435417E-1,-9.001069289E-1,-2.502399261E0,3.993874578E0,4.798252671E0
9.715470000E-1,1.977300292E-1,-1.699173533E0,2.364964258E0,2.918791497E0
9.815550000E-1,1.262378776E-1,-1.204320602E0,2.771580219E-2,1.211235849E0
9.915620000E-1,-1.013091508E0,-3.477966262E-1,-2.330786698E0,2.565128365E0
1.001570000E0,3.743872780E-1,4.247414526E-1,-1.395659625E0,1.506133103E0
1.011577000E0,2.378316960E0,1.787312561E-1,5.574068820E-1,2.449293542E0
1.021584000E0,3.260241387E0,5.714483857E-3,1.511390056E0,3.593536762E0
1.031592000E0,4.352433443E0,2.503539176E0,1.078970917E0,5.135714509E0
1.041599000E0,2.816451752E0,3.522527601E0,-1.075367278E-1,4.511337420E0
1.051607000E0,2.270025356E0,1.541516080E0,1.315418869E-1,2.747105788E0
1.061614000E0,1.892695760E0,1.304993722E0,8.610989839E-1,2.454953628E0
1.071621000E0,1.710484241E0,1.760709923E0,1.711466573E0,2.992486190E0
1.081629000E0,2.307897772E0,1.819486719E0,2.664112489E0,3.966663510E0
1.091636000E0,2.491900293E0,2.948296525E0,2.382138115E-1,3.867656305E0
1.101644000E0,3.444756124E0,5.045848900E0,-3.561522682E0,7.071872432E0
1.111651000E0,4.306893573E0,6.682976897E0,-4.510424625E0,9.140866630E0
1.121658000E0,4.444934056E0,7.177408097E0,-3.896307353E0,9.298055535E0
1.131666000E0,3.797744347E0,6.307426608E0,-2.304108192E0,7.714622939E0
1.141673000E0,2.906727499E0,5.287052393E0,-7.461053020E-1,6.079363526E0
1.151681000E0,1.549177687E0,4.753375266E0,2.001560390E-2,4.999492829E0
1.161688000E0,2.212364209E-1,5.019532337E0,-5.156805664E-2,5.024670108E0
1.171695000E0,6.311005104E-1,4.574342294E0,-2.478357557E0,5.240720509E0
1.181703000E0,1.919872448E0,4.080627378E0,-3.306444916E0,5.591959227E0
1.191710000E0,2.478739380E0,3.995890113E0,-2.224177631E0,5.201754785E0
1.201718000E0,2.978285725E0,3.440917427E0,-5.977031149E-1,4.589918040E0
1.211725000E0,3.019315052E0,3.251593063E0,1.027554595E-1,4.438432101E0
1.221732000E0,2.386296070E0,3.009713632E0,2.328460675E-1,3.847986794E0
1.231740000E0,1.111643988E0,2.279590378E0,-5.509014161E-1,2.595337554E0
1.241747000E0,-1.617562044E-1,1.697649895E0,-1.623922060E0,2.354846724E0
1.251754000E0,-1.040800878E0,1.798032846E0,-1.461624988E0,2.540184283E0
1.261762000E0,-9.897997087E-1,1.873508268E0,-5.623952879E-1,2.192264845E0
1.271769000E0,-4.066504598E-1,2.268103377E0,8.063953578E-2,2.305679999E0
1.281777000E0,-1.052089512E-1,1.985501012E0,6.357700968E-1,2.087459415E0
1.291784000E0,-1.391134465E-1,1.392798582E0,3.132616550E0,3.431111611E0
1.301791000E0,2.815153670E-1,-4.113391958E-2,5.788849331E0,5.795836391E0
1.311799000E0,-9.054705799E-2,-7.152015978E-1,7.748988045E0,7.782449988E0
1.321806000E0,-1.609734961E0,-1.063854768E0,6.703251532E0,6.975429357E0
1.331814000E0,-3.199114594E0,-5.604070884E-1,3.049494286E0,4.455087619E0
1.341821000E0,-3.851421787E0,3.309132296E-1,-4.289412153E-1,3.889337207E0
1.351828000E0,-3.153626765E0,6.559690109E-1,-2.449334317E0,4.046590629E0
1.361836000E0,-2.562943379E0,5.461456929E-1,-3.609984405E0,4.460822938E0
1.371843000E0,-2.494973590E0,4.496970767E-1,-4.293286518E0,4.985923164E0
1.381851000E0,-2.331899423E0,9.637872735E-1,-4.289454253E0,4.976550875E0
1.391858000E0,-1.960960833E0,1.277016696E0,-4.484823761E0,5.058634519E0
1.401865000E0,-1.392004530E0,1.602558673E0,-4.676445204E0,5.135660684E0
1.411873000E0,-7.446920300E-1,1.356113736E0,-4.527770975E0,4.784801008E0
1.421880000E0,-2.081626314E-1,2.679458798E-1,-3.717605040E0,3.733056912E0
1.431888000E0,3.618818378E-1,-1.962487248E0,7.404580611E-1,2.128518923E0
1.441895000E0,8.800194043E-1,-3.996904605E0,7.843850348E0,8.847353777E0
1.451902000E0,6.979704380E-1,-2.591362893E0,7.635224617E0,8.093143971E0
1.461910000E0,1.067923772E-1,-3.598008138E-1,3.836699667E0,3.855013044E0
1.471917000E0,1.896047384E-1,-7.430119787E-1,1.915830999E0,2.063595206E0
1.481925000E0,-9.062611234E-1,-1.461618995E0,1.819921460E0,2.503947569E0
1.491932000E0,-3.880165529E-1,-1.596819923E0,1.457115031E0,2.196263856E0
1.501939000E0,1.392964643E-1,-2.266131549E0,-3.435264046E-1,2.296250442E0
1.511947000E0,3.367347175E-1,-2.287092940E0,-1.216446704E0,2.612264721E0
1.521954000E0,1.545114457E0,3.141548172E-2,-9.982052274E-1,1.839776968E0
1.531962000E0,3.174989567E0,2.352531616E0,-1.423370165E0,4.200112663E0
1.541969000E0,3.347499386E0,3.761357709E0,-8.068982184E-2,5.035878751E0
1.551976000E0,1.001637397E0,4.149229835E0,1.774623519E0,4.622626346E0
1.561984000E0,7.168399876E-1,4.562208737E0,1.704279906E0,4.922619031E0
1.571991000E0,1.935397391E0,3.728831402E0,4.414997189E-1,4.224318725E0
1.581999000E0,-5.670647281E-1,-2.026877372E0,5.063804238E-1,2.164766828E0
1.592006000E0,-3.109392579E0,-6.869939278E0,7.666190886E-1,7.579715874E0
1.602013000E0,-3.839782904E0,-7.994081106E0,1.062783485E0,8.931896451E0
