"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.461416658E-3,-1.131622463E0,-2.331565547E-1,9.688754475E-1,1.507863061E0
1.146941667E-2,-1.354360448E0,-2.923087424E-1,3.954892945E-1,1.440884592E0
2.147641667E-2,-1.184571193E0,-4.242923865E-1,3.196088076E-3,1.258269906E0
3.148341668E-2,-7.061822677E-1,-2.575859293E-1,-2.347253627E-1,7.874896203E-1
4.149141666E-2,-2.500624631E-1,-9.627440572E-3,-3.162975293E-1,4.033212741E-1
5.149941667E-2,1.307746591E-1,2.346399933E-1,-2.412882775E-1,3.610788983E-1
6.150641668E-2,4.402218830E-1,2.956296685E-1,1.492034018E-2,5.304854604E-1
7.151441666E-2,6.328214921E-1,2.533347112E-1,2.021949631E-1,7.110023346E-1
8.152141667E-2,5.883811183E-1,2.385497341E-1,2.796898663E-1,6.937757111E-1
9.152941668E-2,4.071253268E-1,1.296649307E-1,1.585443288E-1,4.557415168E-1
1.015364167E-1,3.545608315E-1,-7.468999386E-2,-6.941229701E-3,3.624088286E-1
1.115444167E-1,4.459251110E-1,-2.339593774E-1,-9.744794190E-2,5.129154864E-1
1.215514167E-1,4.500175772E-1,-2.062336349E-1,-7.160675704E-2,5.001756288E-1
1.315594167E-1,3.488425469E-1,-5.451709986E-2,-1.003323734E-1,3.670556114E-1
1.415664167E-1,3.479881956E-1,5.218961567E-2,-2.074498558E-1,4.084788648E-1
1.515744167E-1,4.013051545E-1,9.176707953E-2,-2.557829404E-1,4.846565139E-1
1.615814167E-1,3.699259255E-1,6.290522307E-2,-2.909118426E-1,4.747967540E-1
1.715894167E-1,3.272999427E-1,4.316385359E-2,-3.935503578E-1,5.136830296E-1
1.815964167E-1,3.350282076E-1,-2.323683500E-3,-5.976614535E-1,6.851631283E-1
1.916044167E-1,2.820742878E-1,-1.007826090E-1,-6.904544270E-1,7.526289616E-1
2.016114167E-1,1.874198531E-1,-2.128003505E-1,-7.548293477E-1,8.063358697E-1
2.116194167E-1,2.807018732E-1,-3.064505258E-1,-8.254865170E-1,9.241934084E-1
2.216264167E-1,6.080632847E-1,-5.094772553E-1,-7.807833838E-1,1.113072650E0
2.316344167E-1,8.166040117E-1,-8.133643618E-1,-3.591266298E-1,1.207218138E0
2.416414167E-1,3.682732831E-1,-2.275221777E-1,-2.930390596E-1,5.227460596E-1
2.516494167E-1,8.107948760E-1,1.138376874E-1,-7.338419366E-1,1.099486852E0
2.616564167E-1,1.190769022E0,-1.989252001E-1,-1.120665658E-1,1.212460727E0
2.716644167E-1,5.140147312E-1,1.538139313E-2,8.500652879E-1,9.935082913E-1
2.816714167E-1,4.935342371E-2,3.374740979E-1,1.097218907E0,1.149005595E0
2.916794167E-1,-8.478484623E-2,2.372189078E-1,8.958027935E-1,9.305503346E-1
3.016864167E-1,-1.324650161E-1,-4.001425087E-2,4.833144736E-1,5.027335290E-1
3.116944167E-1,-7.741216511E-2,-9.970145881E-2,8.452676475E-2,1.519137853E-1
3.217014167E-1,1.904691396E-1,-5.237526476E-2,-2.252142817E-1,2.995715844E-1
3.317094167E-1,7.856758954E-1,-6.951023787E-2,-6.082267874E-1,9.960211397E-1
3.417164167E-1,1.340764503E0,1.027268082E-2,-1.104848354E0,1.737367222E0
3.517244167E-1,1.634430676E0,1.973157540E-1,-1.564459385E0,2.271085712E0
3.617314167E-1,1.410187909E0,1.457900897E-1,-1.745662259E0,2.248826675E0
3.717394167E-1,7.214040318E-1,-1.473238143E-1,-1.148810645E0,1.364512361E0
3.817464167E-1,2.613603070E-2,-4.691031083E-1,-4.006892234E-1,6.174890057E-1
3.917544167E-1,-5.301489899E-1,-8.097560450E-1,8.352513671E-2,9.714624298E-1
4.017614167E-1,-8.415112500E-1,-1.551945467E0,-3.573876679E-1,1.801222324E0
4.117694167E-1,-3.106722155E-1,-1.947920665E0,-1.154843802E0,2.285733219E0
4.217764167E-1,9.514215088E-1,-1.565687593E0,-1.905911052E0,2.643686340E0
4.317844167E-1,2.556737144E0,-1.015219894E0,-2.338745343E0,3.610720986E0
4.417914167E-1,3.737940195E0,-1.899117172E-2,-2.927873955E0,4.748157902E0
4.517994167E-1,3.822490056E0,-1.235050060E0,-3.691733742E0,5.455792967E0
4.618064167E-1,4.773352278E0,-3.277375483E0,-4.493857124E0,7.329449767E0
4.718144167E-1,2.869133996E0,-2.338554139E0,-4.705114102E0,5.986556946E0
4.818214167E-1,5.718357638E-1,-1.515728105E0,-3.823900112E0,4.152907403E0
4.918294167E-1,-1.741719482E0,-1.672577619E0,-3.399594569E0,4.169933558E0
5.018364167E-1,-7.306271374E-2,-2.231305387E0,-4.417884836E0,4.949926092E0
5.118444167E-1,-9.117668617E-1,-3.249455905E0,-5.112230000E0,6.125779793E0
5.218514167E-1,-1.966953644E0,-3.851630240E0,-5.235570583E0,6.790814492E0
5.318594167E-1,-6.697757488E-1,-4.597885230E0,-5.098701882E0,6.898254057E0
5.418664167E-1,-2.452608758E-1,-5.246048208E0,-4.393476219E0,6.847175183E0
5.518748333E-1,-6.794821268E-1,-5.658294454E0,-4.641144394E0,7.349708387E0
5.618818333E-1,-1.859404637E0,-6.560415748E0,-4.987598353E0,8.448229266E0
5.718898333E-1,-2.338160622E0,-7.674695662E0,-5.126110121E0,9.520764337E0
5.818968333E-1,-2.364767207E0,-8.299140286E0,-5.252530432E0,1.010232297E1
5.919048333E-1,-2.309412201E0,-7.653199543E0,-4.291504871E0,9.073139590E0
6.019118333E-1,-1.120442294E0,-7.661538842E0,-1.261264881E0,7.845084924E0
6.119198333E-1,-1.201115159E0,-8.455946823E0,1.422756207E-1,8.542011276E0
6.219268333E-1,-1.562540329E0,-8.095415692E0,6.692837057E-1,8.271954314E0
6.319348333E-1,-2.015099618E0,-8.765299614E0,1.821206824E0,9.176486152E0
6.419418333E-1,7.149741411E-2,-7.213908171E0,3.530495894E0,8.031810769E0
6.519498333E-1,1.731103277E-1,-6.299381424E0,3.975169627E0,7.450781642E0
6.619568333E-1,6.177039546E-1,-7.776436045E0,3.729509679E0,8.646603852E0
6.719648333E-1,1.885558648E0,-7.363640161E0,4.143839872E0,8.657363151E0
6.819718333E-1,1.766497058E0,-6.659928342E0,5.131796538E0,8.591303341E0
6.919798333E-1,2.750978140E0,-6.224168104E0,6.440432637E0,9.369488880E0
