"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.711666673E-3,2.535055961E-1,-8.687471420E-2,-7.399622172E-1,7.869919861E-1
1.971866665E-2,1.869828469E-1,-7.479319721E-2,-4.154832637E-1,4.617173917E-1
2.972666666E-2,-1.823980451E-2,-8.827161402E-2,-1.514393771E-1,1.762340865E-1
3.973366666E-2,-2.921067211E-1,-1.550093946E-1,1.024420488E-1,3.461915977E-1
4.974066667E-2,-6.179049526E-1,-1.974695358E-1,3.303507274E-1,7.279645260E-1
5.974866665E-2,-8.975057951E-1,-2.320947003E-1,5.172417730E-1,1.061566604E0
6.975566666E-2,-9.980002825E-1,-3.062511358E-1,5.997038859E-1,1.203926523E0
7.976266666E-2,-8.902429685E-1,-4.004360390E-1,4.255088997E-1,1.064865901E0
8.977066667E-2,-5.662632941E-1,-3.776745826E-1,1.494302738E-1,6.968655648E-1
9.977766665E-2,-1.228643265E-1,-1.843594936E-1,-7.521156549E-2,2.339676157E-1
1.097846667E-1,3.840565992E-1,1.020666575E-1,-1.631782472E-1,4.295860965E-1
1.197926667E-1,7.967929872E-1,3.352960101E-1,-1.832488149E-1,8.836756232E-1
1.297996667E-1,8.513084060E-1,3.809683192E-1,-1.709953898E-1,9.482100430E-1
1.398066667E-1,4.039902690E-1,2.942883173E-1,-1.319465142E-1,5.169367793E-1
1.498146667E-1,-1.534650718E-1,1.200629255E-1,-2.810171843E-2,1.968663022E-1
1.598216667E-1,-4.915640178E-1,-9.786543310E-2,9.042309701E-2,5.093026243E-1
1.698286667E-1,-6.175628905E-1,-2.200359875E-1,2.190595025E-1,6.912212563E-1
1.798366666E-1,-5.037104389E-1,-2.296607968E-1,2.755108613E-1,6.183643930E-1
1.898436667E-1,-3.151020661E-1,-1.454456887E-1,3.423632473E-1,4.875001062E-1
1.998506667E-1,-9.204635717E-2,-4.855732530E-2,3.893543959E-1,4.030225692E-1
2.098586667E-1,-1.378247201E-2,4.908562124E-2,2.748261523E-1,2.795152388E-1
2.198656667E-1,4.882425070E-4,1.119697943E-1,1.632408124E-1,1.979521055E-1
2.298726666E-1,5.515386164E-2,1.071984664E-1,-6.374049783E-2,1.363682907E-1
2.398806667E-1,1.000623051E-1,5.949337274E-2,-2.808926386E-1,3.040601926E-1
2.498876667E-1,4.435054600E-2,-3.335544169E-2,-2.970414788E-1,3.021807349E-1
2.598946667E-1,-1.208197014E-1,-2.025767863E-2,-1.514358687E-1,1.947834596E-1
2.699030417E-1,-2.583339344E-1,6.904392242E-3,3.237018585E-3,2.584464559E-1
2.799100417E-1,-3.297012480E-1,3.464241385E-2,6.639571846E-2,3.380996912E-1
2.899170417E-1,-3.388681472E-1,1.262293991E-1,1.262466484E-1,3.830191883E-1
2.999250416E-1,-3.427067712E-1,1.678665447E-1,1.741417766E-1,4.194668833E-1
3.099320417E-1,-3.401689334E-1,1.176430553E-1,1.785008758E-1,4.017677867E-1
3.199390417E-1,-3.669683307E-1,3.460002154E-2,1.156497395E-1,3.863130589E-1
3.299470417E-1,-4.164262003E-1,-4.464963108E-2,5.001065075E-2,4.217883771E-1
3.399540417E-1,-4.703446184E-1,-8.779068053E-2,4.078374445E-2,4.802026421E-1
3.499610416E-1,-4.677010922E-1,-9.418870389E-2,6.101218700E-2,4.809764137E-1
3.599690417E-1,-3.841155830E-1,-4.453999579E-2,1.874324977E-2,3.871432574E-1
3.699760417E-1,-2.634520023E-1,3.530811936E-2,-6.299205422E-2,2.731695804E-1
3.799830417E-1,-2.412501244E-1,7.515309334E-2,-1.558815068E-1,2.968983903E-1
3.899910417E-1,-3.394725300E-1,6.903456688E-2,-1.990702111E-1,3.995451401E-1
3.999980417E-1,-5.022790405E-1,6.258070260E-2,-1.848912978E-1,5.388741698E-1
4.100050417E-1,-6.527905376E-1,5.017788112E-2,-1.010223448E-1,6.624642027E-1
4.200120417E-1,-7.485883952E-1,-6.612616181E-3,-6.406794190E-2,7.513541198E-1
4.300200416E-1,-7.755736609E-1,-5.008257151E-2,-4.749868691E-2,7.786391287E-1
4.400270417E-1,-7.801357316E-1,-7.191344351E-2,-5.083043039E-2,7.850904634E-1
4.500340417E-1,-7.678578944E-1,-9.555373639E-2,-4.511126876E-3,7.737936500E-1
4.600420417E-1,-7.939890280E-1,-6.479650497E-2,5.589119554E-2,7.985868703E-1
4.700490417E-1,-7.969800981E-1,-2.957726330E-2,8.553073168E-2,8.021019869E-1
4.800560416E-1,-7.228317026E-1,-2.348534167E-3,1.388590926E-1,7.360523307E-1
4.900640417E-1,-6.059976827E-1,1.074162751E-2,1.487005413E-1,6.240676445E-1
5.000710417E-1,-5.669208135E-1,7.126586437E-3,1.099580598E-1,5.775298884E-1
5.100780417E-1,-6.744700398E-1,4.814889729E-3,6.963390648E-2,6.780721928E-1
5.200860417E-1,-8.240149920E-1,-2.654635906E-4,2.504128575E-2,8.243954413E-1
5.300930417E-1,-9.707276992E-1,-2.963953614E-2,1.976475835E-2,9.713811888E-1
5.401010417E-1,-9.953367296E-1,-8.283925831E-2,7.741128802E-3,9.988080261E-1
5.501080417E-1,-9.354480851E-1,-1.341433132E-1,-3.430152118E-2,9.456395416E-1
5.601150416E-1,-7.678144057E-1,-1.936287922E-1,-9.278010964E-2,7.972698536E-1
5.701220417E-1,-5.430174690E-1,-1.645210603E-1,-1.501143980E-1,5.869152268E-1
5.801300417E-1,-3.365405899E-1,-8.979978383E-2,-2.177719456E-1,4.107897152E-1
5.901370417E-1,-2.795992345E-1,-9.077276051E-2,-2.422998458E-1,3.809522821E-1
6.001440417E-1,-3.267396332E-1,-1.042043996E-1,-3.253420025E-1,4.727205976E-1
