"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.102166658E-3,-8.273981179E-1,-2.346429169E-2,1.598617065E0,1.800198528E0
1.110916666E-2,-8.879094909E-1,-1.132272381E-1,1.029995808E0,1.364586031E0
2.111716665E-2,-6.219516644E-1,-2.427500814E-1,4.643501991E-1,8.132481677E-1
3.112416665E-2,-2.783960237E-1,-5.593738854E-2,1.126156193E-1,3.054760467E-1
4.113116665E-2,-4.550975651E-2,1.109018004E-1,1.797387314E-1,2.160471218E-1
5.113816666E-2,4.399643862E-1,-2.444720864E-3,8.221337235E-1,9.324583085E-1
6.114616664E-2,7.371825971E-1,-2.795240977E-1,1.504652309E0,1.698690812E0
7.115316665E-2,6.676363988E-1,-7.046169680E-1,1.616646954E0,1.885675160E0
8.116016665E-2,3.096071452E-1,-1.099474471E0,1.548447370E0,1.924159545E0
9.116716665E-2,-7.585095853E-2,-1.442611890E0,1.159535608E0,1.852405263E0
1.011751667E-1,-4.481772391E-1,-1.699468671E0,7.530903858E-1,1.912119696E0
1.111821666E-1,-7.737741803E-1,-1.791629561E0,1.741622418E-1,1.959335462E0
1.211891666E-1,-8.436984010E-1,-1.639530033E0,-5.128768265E-1,1.913877833E0
1.311971667E-1,-7.887436371E-1,-1.288383391E0,-1.329093168E0,2.012097645E0
1.412041667E-1,-5.829030812E-1,-8.774837592E-1,-1.963590326E0,2.228326887E0
1.512111667E-1,-5.183401725E-1,-6.518677738E-1,-2.100345005E0,2.259437379E0
1.612181666E-1,-1.693572193E-1,-8.970079046E-1,-2.110451333E0,2.299415116E0
1.712261667E-1,-2.821173379E-1,-1.052528638E0,-1.672251052E0,1.995953483E0
1.812331667E-1,1.235540056E-1,-3.475272158E-1,-2.257833912E0,2.287761948E0
1.912401667E-1,3.157283760E-1,-8.777796283E-1,-2.627646328E0,2.788316106E0
2.012471667E-1,3.189767601E-1,-1.236375623E0,-2.329323725E0,2.656335797E0
2.112551667E-1,9.512073545E-1,-1.538255965E0,-2.064002221E0,2.744290804E0
2.212621667E-1,1.087570417E0,-2.207157848E0,-2.144042417E0,3.263628818E0
2.312691667E-1,3.234208267E-1,-1.133567831E0,-2.269765155E0,2.557618212E0
2.412771666E-1,-2.488805033E-1,-2.404149958E-1,-2.161164234E0,2.188691783E0
2.512841666E-1,-6.137680658E-2,-3.483788627E-1,-3.472329839E0,3.490302201E0
2.612911667E-1,1.588284669E-2,-6.101560763E-1,-3.857964236E0,3.905948124E0
2.712981667E-1,2.280030746E-1,-3.742963538E-1,-3.560208228E0,3.587083186E0
2.813061667E-1,1.130009435E0,-2.786718661E-1,-3.039818898E0,3.255008182E0
