"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.377054166E-2,-3.334520906E-3,-4.934582233E-2,1.842568749E-1,1.907792577E-1
4.377854167E-2,1.833656496E-1,3.703626394E-3,4.681959128E-1,5.028360479E-1
5.378654166E-2,2.130022987E-1,6.257397830E-3,5.027278143E-1,5.460259972E-1
6.379454167E-2,1.029813083E-1,4.006950706E-2,3.202560943E-1,3.387841218E-1
7.380254165E-2,-2.355287701E-2,2.345639795E-2,-2.175456583E-2,3.972658751E-2
8.381054166E-2,-8.770542081E-2,-6.828992397E-2,-3.176201695E-1,3.365090291E-1
9.381854167E-2,-1.082825401E-1,-8.298426926E-2,-4.749880385E-1,4.941913943E-1
1.038265417E-1,-9.261404872E-3,-3.624922872E-2,-5.056180930E-1,5.070004302E-1
1.138345417E-1,2.015736964E-1,9.273684025E-3,-3.959266663E-1,4.443825845E-1
1.238425417E-1,2.522659133E-1,8.886393696E-2,-2.374413943E-1,3.576496974E-1
1.338505417E-1,2.360308632E-1,1.315658605E-1,-7.041684866E-2,2.792466233E-1
1.438585416E-1,1.701096828E-1,8.067081839E-2,2.939395308E-2,1.905494414E-1
1.538665417E-1,7.750974052E-2,6.039589047E-3,7.578459263E-2,1.085704425E-1
1.638735417E-1,4.912063144E-3,-3.280843467E-2,1.332165295E-1,1.372849791E-1
1.738815417E-1,-5.085714485E-2,-4.376874804E-2,1.778044724E-1,1.900436342E-1
1.838895417E-1,-4.152093217E-2,-7.480693817E-2,9.293096781E-2,1.263179741E-1
1.938975417E-1,-4.237879179E-3,-3.246578783E-2,7.148221135E-3,3.351244641E-2
2.039055417E-1,4.984605163E-2,7.442599207E-2,-3.061602116E-3,8.962829111E-2
2.139135417E-1,7.484677233E-2,8.991848230E-2,1.109333754E-2,1.175178068E-1
2.239215416E-1,4.667693384E-2,4.403245747E-2,-5.625606179E-3,6.441460167E-2
2.339295417E-1,-8.225724109E-2,3.505025715E-2,2.404375076E-2,9.258982767E-2
2.439375417E-1,-1.404974824E-1,2.706559181E-2,8.857011437E-2,1.682758271E-1
2.539455417E-1,-1.585232423E-1,-1.783283830E-2,1.325785983E-1,2.074239938E-1
2.639535417E-1,-1.717922922E-1,-2.333945364E-2,1.597114331E-1,2.357224292E-1
2.739615417E-1,-1.361659382E-1,1.289983481E-2,1.740102142E-1,2.213303484E-1
2.839695417E-1,-5.037672300E-2,6.554436386E-3,1.408641028E-1,1.497446838E-1
2.939775417E-1,4.408383988E-2,4.115358084E-2,1.848211312E-1,1.944115550E-1
3.039855417E-1,-5.448223583E-2,7.354189306E-2,5.287461698E-2,1.056998069E-1
3.139935417E-1,-1.557497983E-1,7.324514687E-2,-4.748874664E-2,1.785442025E-1
3.240015417E-1,-1.928935413E-1,3.866968364E-2,-1.433977014E-1,2.434464284E-1
3.340095417E-1,-1.413293219E-1,8.477877975E-3,-2.279689050E-1,2.683573612E-1
3.440175416E-1,-4.432609733E-2,2.142975301E-2,-2.353814203E-1,2.404754670E-1
3.540245417E-1,3.949286196E-2,5.108069122E-2,-2.264410275E-1,2.354664777E-1
3.640325417E-1,2.666165885E-2,3.211787850E-2,-1.541881531E-1,1.597385011E-1
3.740405417E-1,-6.223564379E-2,3.828727573E-2,-1.650440937E-1,1.804958274E-1
3.840485417E-1,-9.615673050E-2,2.162855834E-2,-1.826570767E-1,2.075512444E-1
3.940565417E-1,-1.020503219E-1,-9.582124650E-3,-2.007565480E-1,2.254091322E-1
4.040645417E-1,-2.262877939E-1,-8.546290398E-3,-3.716297311E-1,4.351871572E-1
4.140725417E-1,-3.034495703E-1,-1.948233783E-2,-5.300857669E-1,6.111072929E-1
4.240805416E-1,-3.831862046E-1,-7.703531206E-2,-5.653035468E-1,6.872657468E-1
4.340885417E-1,-4.479651314E-1,-1.566910538E-1,-7.044333655E-1,8.493828416E-1
4.440965417E-1,-2.510710713E-1,-2.311348799E-1,-6.326511919E-1,7.188237240E-1
4.541045417E-1,1.746640791E-1,-5.729557979E-1,-2.413882649E-1,6.457973222E-1
4.641125417E-1,8.805972554E-2,-1.488686487E-1,-9.300288856E-2,1.963820947E-1
4.741205417E-1,5.479531769E-1,2.231101611E-1,-7.876450914E-1,9.850967557E-1
4.841285417E-1,6.490770440E-1,2.282606810E-1,-3.558486807E-1,7.746174741E-1
4.941365417E-1,1.070645651E-1,1.595860103E-1,-3.523017597E-1,4.013066729E-1
5.041445417E-1,-4.091445896E-1,1.629236010E-1,-5.439109236E-1,6.998446169E-1
5.141525417E-1,-7.289193850E-1,1.548459649E-1,-7.741742760E-1,1.074544812E0
5.241605417E-1,-9.443021583E-1,4.258468688E-2,-8.852105623E-1,1.295035815E0
5.341675417E-1,-9.944470026E-1,-1.102039352E-1,-9.273420900E-1,1.364196870E0
5.441755417E-1,-7.834598006E-1,-2.890769863E-1,-1.062476506E0,1.351381178E0
5.541835417E-1,-4.278262974E-1,-3.448372042E-1,-1.328604925E0,1.437754877E0
5.641915417E-1,-4.169022368E-1,-3.109821180E-1,-1.485997937E0,1.574391064E0
