"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.021183332E-2,-7.933434954E-1,-2.266971356E-1,-9.016388994E-1,1.222185828E0
2.021883332E-2,-6.867496312E-1,-3.987450242E-2,-1.208803078E0,1.390834251E0
3.022583332E-2,-3.124545930E-1,-2.345142782E-2,-9.914030153E-1,1.039739285E0
4.023383334E-2,1.605215648E-1,3.541161507E-2,-5.111285090E-1,5.369110802E-1
5.024083334E-2,4.741249895E-1,8.910922766E-2,-1.016403955E-1,4.930169674E-1
6.024783332E-2,5.259158251E-1,1.641459614E-2,1.312524498E-1,5.422952144E-1
7.025483332E-2,7.051113501E-1,-8.353770822E-2,1.856403261E-1,7.339093237E-1
8.026183333E-2,8.720885333E-1,-8.834148824E-2,6.850714803E-2,8.792245776E-1
9.026983334E-2,6.250373863E-1,-8.424668312E-2,-4.068100888E-1,7.505089514E-1
1.002768333E-1,4.218029344E-1,1.790756571E-1,-4.091548222E-1,6.143235914E-1
1.102838333E-1,5.550020684E-1,4.652515474E-1,-9.175333858E-2,7.300034065E-1
1.202908333E-1,6.136684987E-1,3.364897192E-1,-3.171570700E-1,7.683768375E-1
1.302988333E-1,7.384703001E-1,-4.150227955E-1,-7.311533868E-1,1.119002940E0
1.403058333E-1,7.644372732E-1,-2.008913848E0,-1.966572406E0,2.913332494E0
1.503128333E-1,-7.213326958E-1,-1.990187556E-1,-5.904015505E-1,9.531544019E-1
1.603198333E-1,-8.070991433E-1,1.802243426E0,-2.266366169E0,3.005978378E0
1.703278333E-1,1.020024113E0,9.996034428E-1,-2.279392596E0,2.689848851E0
1.803348333E-1,1.151970627E0,-4.852996033E-1,5.960388511E-1,1.384851740E0
1.903418333E-1,1.924420705E0,-1.643977425E0,5.566034746E-1,2.591498457E0
2.003488333E-1,1.097415812E0,-9.500976992E-1,6.523282421E-1,1.591395375E0
2.103558333E-1,5.541971627E-1,3.150968036E-1,6.893756157E-1,9.389671082E-1
2.203638333E-1,1.872201707E0,-1.154129273E-1,3.717601240E-2,1.876124045E0
2.303707083E-1,2.781297122E0,-7.215706775E-1,-5.998640996E-1,2.935321935E0
