"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.505124991E-3,-1.489729338E0,1.606068464E0,-1.642172974E0,2.737787700E0
1.449212499E-2,-1.613575997E0,1.498287615E0,-1.910811603E0,2.915423513E0
2.447912502E-2,-1.656393403E0,1.475978149E0,-2.003595221E0,2.989405361E0
3.446612501E-2,-1.501152751E0,1.652470506E0,-1.836846664E0,2.891042030E0
4.445212500E-2,-1.132744543E0,1.948142274E0,-1.369221439E0,2.636879950E0
5.443912500E-2,-7.202334192E-1,2.136395429E0,3.416878939E-2,2.254792477E0
6.442612500E-2,-2.908761746E-1,2.105417465E0,5.760957527E-1,2.202107619E0
7.441312500E-2,-1.618471286E-1,2.320876544E0,4.614242524E-1,2.371829414E0
8.440012499E-2,-1.611346453E-1,2.440668744E0,-2.567424685E-1,2.459419644E0
9.438612501E-2,-2.924347499E-1,2.517035719E0,-1.219749650E0,2.812254630E0
1.043731250E-1,-4.382166535E-1,2.290881790E0,-1.203903696E0,2.624796624E0
1.143601250E-1,-6.225776088E-1,1.913026528E0,-1.325747976E0,2.409332080E0
1.243471250E-1,-6.827132982E-1,1.604391483E0,-9.439481825E-1,1.982727326E0
1.343331250E-1,-1.321499974E-2,1.710266724E0,1.565349916E0,2.318514021E0
1.443201250E-1,6.013685882E-1,1.937281948E0,3.225986059E0,3.810733732E0
1.543071250E-1,1.006009360E0,1.828533677E0,2.915145151E0,3.585200342E0
1.642941250E-1,1.079840983E0,1.383365562E0,2.316435292E0,2.906136488E0
1.742811250E-1,1.011901307E0,9.396624658E-1,1.486432970E0,2.028889543E0
1.842671250E-1,1.269052203E0,7.551562071E-1,1.165499184E0,1.881260944E0
1.942541250E-1,1.109588985E0,6.619767326E-1,4.283295965E-1,1.361200629E0
2.042411250E-1,2.054654570E-1,4.214100015E-1,-5.630219632E-1,7.326637527E-1
2.142281250E-1,-5.233222926E-1,3.989572781E-1,-1.246978964E0,1.409960875E0
2.242141250E-1,-1.047450624E0,2.499836719E-1,-9.254902768E-1,1.419921441E0
2.342011250E-1,-1.591104270E0,8.980475396E-2,-3.348495752E-1,1.628435424E0
2.441881250E-1,-1.977604494E0,-8.300824285E-2,3.178733540E-1,2.004707802E0
2.541751250E-1,-2.282665867E0,-6.154662251E-1,1.532102063E0,2.817214736E0
