"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.037708327E-3,9.799018344E-1,3.304448676E-1,2.843015653E-1,1.072487201E0
1.202370832E-2,8.455316493E-1,4.204282540E-1,1.196381253E-1,9.518387299E-1
2.201070832E-2,1.060114816E0,5.536933154E-1,-4.403122956E-1,1.274478179E0
3.199670833E-2,1.252942247E0,5.164021128E-1,-1.165662321E0,1.787541346E0
4.198270832E-2,9.811896837E-1,2.126667416E-1,-1.548097122E0,1.845146346E0
5.196870831E-2,5.980219343E-1,1.252798113E-1,-1.665456002E0,1.773998016E0
6.195470833E-2,1.159692898E-1,2.707860187E-1,-1.485570506E0,1.514494527E0
7.194070832E-2,-1.184944099E-1,5.360779935E-1,-1.191984147E0,1.312343989E0
8.192770832E-2,1.208561003E-2,6.703230482E-1,-1.458545845E0,1.605252326E0
9.191370831E-2,-8.497378439E-2,4.358710429E-1,-1.007223242E0,1.100773714E0
1.018997083E-1,9.606229797E-1,1.727822989E-1,7.785672891E-1,1.248526033E0
1.118857083E-1,2.163765076E0,9.477927268E-2,2.186308431E0,3.077467623E0
1.218717083E-1,3.994829428E0,3.246467686E-1,2.941706713E0,4.971689458E0
1.318577083E-1,2.299418725E0,-3.240293026E-2,2.008116873E0,3.053016508E0
1.418447083E-1,9.993566903E-1,-4.324191391E-1,2.487617208E0,2.715499858E0
1.518307083E-1,1.961798154E0,6.386141825E-1,9.411853731E-1,2.267666196E0
1.618167083E-1,1.862603795E0,7.967494985E-1,-4.377710956E-1,2.072618198E0
1.718027083E-1,1.854607289E0,7.098756614E-1,-1.273855691E0,2.359279545E0
1.817887083E-1,2.101913813E0,6.866800493E-1,-1.626149849E0,2.744801359E0
1.917747083E-1,1.825013069E0,3.517068055E-1,-1.474511082E0,2.372457230E0
2.017617083E-1,1.350332886E0,-1.043707529E-1,-9.740590042E-1,1.668257505E0
2.117477083E-1,6.281087825E-1,-4.525736144E-1,-4.447842461E-1,8.928474364E-1
2.217337083E-1,-2.554370045E-1,-6.036361384E-1,2.557858640E-1,7.035986492E-1
2.317197083E-1,-1.714504494E0,-7.030475754E-1,5.029453307E-1,1.920092591E0
2.417057083E-1,-3.211417721E0,-3.430029327E-1,-4.683169502E-1,3.263460672E0
2.516917083E-1,-3.805286086E0,3.906583250E-1,-1.661741266E0,4.170635462E0
2.616787083E-1,-2.854377085E0,8.552707717E-1,-3.411542185E0,4.529633177E0
2.716647083E-1,-3.490326692E0,7.017731747E-1,-4.162916998E0,5.477658618E0
2.816507083E-1,-3.688171034E0,3.608632529E-1,-3.183268640E0,4.885286798E0
2.916367083E-1,-3.057373702E0,3.114566195E-1,-1.325869013E0,3.347008787E0
3.016227083E-1,-1.604444692E0,2.680223322E-1,-7.558578730E-2,1.628432361E0
3.116087083E-1,-4.930840015E-2,-5.431949320E-1,5.070447552E0,5.099699053E0
3.215957083E-1,4.594970101E-1,4.425994340E-1,3.369225301E0,3.429097678E0
3.315817083E-1,1.151340443E0,-6.140570462E-2,6.382902467E-1,1.317865667E0
3.415677083E-1,1.639227732E0,4.085800409E-2,-1.729736198E0,2.383426997E0
3.515537083E-1,1.577030607E0,4.002033198E-1,-2.691296194E0,3.144878922E0
3.615397083E-1,8.018558720E-1,1.424671755E0,-2.357050052E0,2.868509612E0
3.715257083E-1,6.455711997E-1,2.157213271E0,-2.769923703E0,3.569707073E0
3.815127083E-1,1.125419005E0,1.648727995E0,-2.378983542E0,3.105549007E0
3.914987083E-1,1.382316279E0,1.182802264E0,-1.589948568E0,2.416144851E0
4.014847083E-1,1.289028046E0,4.511904556E-1,5.269627690E-2,1.366727123E0
4.114707083E-1,6.850970618E-1,-4.251995820E-1,1.329352199E0,1.554776492E0
4.214567083E-1,-1.887773573E-3,-2.439881709E0,3.855580326E0,4.562732292E0
4.314427083E-1,7.979426229E-1,-8.745841250E-1,4.307632077E0,4.467359839E0
4.414297083E-1,2.233763264E0,2.170206953E0,2.337078302E0,3.893768294E0
4.514157083E-1,2.795654083E0,4.250470866E0,-4.536913097E-2,5.087655913E0
4.614017083E-1,2.688773121E0,4.286245008E0,-1.354058440E0,5.237830794E0
4.713877083E-1,1.977923021E0,2.530666456E0,-1.857030668E0,3.710123325E0
4.813737083E-1,4.484875801E-1,5.648623744E-1,-2.127595369E0,2.246524575E0
4.913597083E-1,-2.451374996E-1,-2.151857221E-1,-2.674114736E0,2.693935209E0
5.013467083E-1,-4.207168141E-1,7.845501602E-3,-3.060776489E0,3.089565812E0
5.113327083E-1,-1.990599784E-1,5.999725655E-1,-2.328777595E0,2.413047252E0
5.213187083E-1,6.634958392E-1,7.430600721E-1,-1.059941738E0,1.454593238E0
5.313047083E-1,8.019476733E-1,3.481847352E-1,1.768338346E-1,8.919769535E-1
5.412907083E-1,5.029327592E-1,-1.800477567E-1,1.083505433E0,1.208032523E0
5.512767083E-1,3.046954840E-2,-5.531208730E-1,7.443657553E-1,9.278747066E-1
5.612637083E-1,-2.350107068E-1,-6.617916682E-1,1.939650071E-1,7.285744083E-1
5.712497083E-1,-4.878916740E-3,-4.844877174E-1,2.893038583E-1,5.643127454E-1
