"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-8.198333380E-4,-1.645133712E0,3.274911466E-1,-6.969021517E-1,1.816421755E0
9.167166660E-3,-1.478855271E0,3.153365394E-1,4.664563662E-1,1.582413216E0
1.915316668E-2,-1.442319821E0,-1.002651304E-2,1.321269009E0,1.956051837E0
2.914016668E-2,-1.067466228E0,-5.415737915E-1,8.858847463E-1,1.489153485E0
3.912716667E-2,-5.433487138E-1,-9.916184852E-1,5.746304405E-1,1.268359250E0
4.911316666E-2,-9.315091082E-1,-1.316543581E0,1.238290002E0,2.033312162E0
5.910016666E-2,-8.304127961E-2,-6.908353731E-1,1.452760609E0,1.610795690E0
6.908616668E-2,3.171158472E-1,1.304614969E0,9.084666932E-1,1.621078163E0
7.907316668E-2,1.142703521E0,2.039057707E0,-1.075073748E0,2.572802214E0
8.905916667E-2,1.359893669E0,1.545067095E0,-1.211754752E0,2.388491720E0
9.904616667E-2,9.619301248E-1,6.361068964E-1,4.908486110E-1,1.253345087E0
1.090331667E-1,7.523211846E-1,5.175633699E-1,2.063429779E-1,9.361818366E-1
1.190191667E-1,6.854331306E-1,5.439085847E-1,-1.999530237E0,2.182607682E0
1.290061667E-1,7.798491450E-1,2.492632949E-1,-2.311382713E0,2.452098474E0
1.389921667E-1,1.144691136E0,-1.033670783E-1,-1.723077389E0,2.071231092E0
1.489791667E-1,1.283136538E0,-4.121585369E-2,-1.574486775E0,2.031538020E0
1.589651667E-1,1.591861338E0,-9.256463975E-2,-3.287310487E-1,1.628083178E0
1.689521667E-1,1.477050674E0,-3.466320071E-1,2.947867924E-1,1.545552230E0
1.789391667E-1,1.380176783E0,-5.045854747E-1,3.152233958E-1,1.502950512E0
1.889251667E-1,1.697415860E0,-5.089170921E-1,8.337316757E-1,1.958398763E0
1.989121667E-1,1.468768824E0,-6.573170865E-1,8.616544694E-1,1.825320803E0
2.088981667E-1,6.591203678E-1,-4.084797612E-1,9.725872600E-1,1.243873528E0
2.188851667E-1,3.810351236E-1,-3.678079909E-1,9.834584033E-1,1.116987428E0
2.288711667E-1,4.498590446E-1,-9.737549490E-1,6.037209231E-1,1.230874004E0
2.388581667E-1,-1.231401689E-1,-9.018768811E-1,8.878909260E-1,1.271572140E0
2.488451667E-1,-9.189155214E-2,-5.143748832E-1,2.545550251E0,2.598624955E0
2.588311667E-1,9.979258767E-1,-1.475895703E-2,2.823483614E0,2.994684224E0
2.688181667E-1,1.639154057E0,1.822283589E0,2.016369048E0,3.173844300E0
2.788041667E-1,2.364691485E0,3.491724468E0,7.221235317E-1,4.278477297E0
2.887911667E-1,2.769213266E0,4.065536299E0,-3.332854450E-2,4.919170489E0
2.987781667E-1,2.383464410E0,2.711387227E0,-6.035080844E-1,3.660156458E0
3.087641667E-1,2.014454231E0,1.390367310E0,-1.046014840E0,2.661821585E0
3.187511667E-1,1.233750370E0,3.670373279E-1,3.385631418E-1,1.330970088E0
3.287371667E-1,1.105686114E0,-6.216514099E-1,9.924292016E-1,1.610561386E0
3.387241667E-1,9.136629675E-1,-1.103405262E0,7.847805405E-1,1.633451464E0
3.487101667E-1,3.142349240E-1,-1.442986988E0,4.422763753E-1,1.541610660E0
3.586971667E-1,3.073552363E-1,-1.514060479E0,2.484698278E-1,1.564795077E0
3.686841667E-1,6.032575312E-1,-9.973642516E-1,9.630071819E-2,1.169584938E0
3.786692083E-1,7.489786237E-1,-1.305048832E-1,1.141078287E-1,7.687789669E-1
3.886562083E-1,4.426197530E-1,3.591354007E-1,1.305963922E-1,5.847614038E-1
3.986422083E-1,-3.770299271E-2,3.834329206E-1,-8.912150681E-2,3.954553871E-1
4.086292083E-1,-2.691347650E-1,3.699866635E-1,-4.762317413E-1,6.603940674E-1
4.186152083E-1,-6.962425858E-3,7.464669523E-1,-2.340131718E-1,7.823193407E-1
4.286022083E-1,1.630604258E-1,9.967122871E-1,3.159630686E-1,1.058232841E0
4.385892083E-1,-4.499936767E-2,6.544385022E-1,1.651212770E-1,6.764464002E-1
4.485752083E-1,-5.009546462E-1,-1.253514397E-1,1.571971303E-1,5.397957750E-1
4.585622083E-1,-7.203718521E-1,-9.790180278E-1,6.226331574E-1,1.365680765E0
4.685482083E-1,-3.199956740E-1,-1.400827102E0,1.530015192E0,2.098966481E0
4.785352083E-1,-2.620137334E-2,-1.341851792E0,2.167279837E0,2.549187054E0
4.885212083E-1,-2.999547078E-1,-1.639840228E0,1.864904528E0,2.501383157E0
4.985082083E-1,-4.053601255E-1,-1.470403413E0,8.632215232E-1,1.752585070E0
5.084952083E-1,-4.401772249E-1,-4.324752724E-1,4.000711727E-1,7.354235472E-1
5.184812083E-1,-3.895469154E-1,1.506149197E-1,-9.445826054E-2,4.281985712E-1
5.284682083E-1,9.257194877E-2,6.054359114E-1,-3.034003258E-1,6.835012555E-1
5.384542083E-1,3.305452935E-1,6.670655644E-1,-3.683032501E-1,8.305925248E-1
5.484412083E-1,3.619084427E-1,4.833606666E-1,-3.291918093E-1,6.877372334E-1
5.584272083E-1,3.430159427E-1,3.360891849E-1,-2.233525282E-1,5.296246114E-1
5.684142083E-1,-2.459362292E-1,-6.430884719E-2,-1.798890048E-1,3.114166192E-1
5.784012083E-1,-5.401423931E-1,-4.880378544E-1,-2.335044640E-1,7.644992393E-1
5.883872083E-1,-5.609274906E-1,-6.235482466E-1,-6.144581652E-1,1.039716741E0
5.983742083E-1,-3.788390556E-1,-2.307691365E-1,-1.157369800E0,1.239466933E0
6.083602083E-1,-2.040628561E-1,3.296771282E-1,-1.403521791E0,1.456091369E0
6.183472083E-1,-1.770817566E-1,6.011773843E-1,-1.409980626E0,1.542989812E0
6.283332083E-1,-3.619356322E-1,2.907147914E-1,-1.410763568E0,1.485182257E0
6.383202083E-1,-5.201469621E-1,-2.348621875E-1,-1.075160871E0,1.217244432E0
6.483072084E-1,-6.807626671E-1,-6.504629803E-1,-7.222252733E-1,1.186654643E0
6.582932083E-1,-7.346827662E-1,-8.164818048E-1,-4.886050344E-1,1.202138172E0
6.682802083E-1,-9.837232822E-1,-1.045190967E0,-4.048799229E-1,1.491329409E0
6.782662083E-1,-1.336503344E0,-1.465901057E0,-5.782001656E-1,2.066258099E0
6.882532083E-1,-1.537732640E0,-2.057521752E0,-5.462451321E-1,2.626099993E0
6.982402083E-1,-1.595767424E0,-2.410218199E0,-5.137819755E-1,2.935915080E0
7.082262083E-1,-1.360669302E0,-1.958566983E0,-3.919587457E-1,2.416823790E0
