"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.532875003E-3,-4.985055399E-1,-1.660800742E-1,-5.373936170E-1,7.515864980E-1
1.952087501E-2,-7.622798699E-1,2.110890166E-1,-3.440145010E-1,8.625399410E-1
2.950787501E-2,-6.775490373E-1,4.903622688E-1,-4.334950268E-2,8.375004669E-1
3.949587501E-2,-5.407510883E-1,6.171395521E-1,3.597242153E-1,8.959210218E-1
4.948287501E-2,-3.303787941E-1,5.852764660E-1,7.686632752E-1,1.021049421E0
5.947087501E-2,-5.052286685E-2,5.611391598E-1,1.011468320E0,1.157798722E0
6.945787501E-2,2.684269595E-1,4.555732360E-1,7.968199575E-1,9.563064627E-1
7.944587502E-2,7.766915023E-2,4.884756647E-1,1.124958099E0,1.228890433E0
8.943287501E-2,-5.102391475E-1,2.759670903E-1,5.640235913E-1,8.090886442E-1
9.942087502E-2,-9.689117002E-1,-3.834913927E-1,-5.399278003E-1,1.173617297E0
1.094088750E-1,-5.457843715E-1,-1.130367212E0,-2.535119988E0,2.828859128E0
1.193958750E-1,-6.803714883E-1,-1.361402689E0,-4.446619223E0,4.699866505E0
1.293838750E-1,-1.169475290E0,-1.468973623E0,-5.866734243E0,6.159880408E0
1.393708750E-1,-8.160257220E-1,-1.444282001E0,-6.528137949E0,6.735609367E0
1.493588750E-1,-2.252172053E-2,-1.398683951E0,-5.604424641E0,5.776365603E0
1.593458750E-1,1.731694723E0,-7.929893003E-1,-1.862008987E0,2.663583322E0
1.693338750E-1,3.370328670E0,-4.021951738E-1,-1.334852090E0,3.647287541E0
1.793208750E-1,3.073973947E0,-4.965651414E-1,-2.583855361E0,4.046257690E0
1.893088750E-1,2.265099370E0,-6.202118254E-1,-1.940779168E0,3.046631196E0
1.992968750E-1,6.024485689E-1,-1.148914433E0,1.405126852E-1,1.304872587E0
2.092838750E-1,-2.230413833E0,-2.157959229E0,1.200737429E-1,3.105793232E0
2.192718750E-1,-2.332985836E0,-2.423171097E0,1.929323303E0,3.877740255E0
2.292588750E-1,-3.059368479E-1,-2.378451446E0,-1.233906929E0,2.696878741E0
2.392468750E-1,8.192659566E-1,-2.071124715E0,-2.839040716E0,3.608449317E0
2.492338750E-1,6.060420484E-1,-1.763239136E0,-2.112617726E0,2.817703475E0
2.592218750E-1,9.583001733E-2,-1.648922854E0,-4.639017177E-1,1.715614984E0
2.692088750E-1,2.889925525E0,-1.719202001E0,1.088107776E0,3.534303834E0
2.791968750E-1,4.498175293E0,-2.323222447E0,2.231203938E0,5.532559491E0
2.891848750E-1,4.450029612E0,-1.688170973E0,1.657078696E0,5.039701835E0
2.991718750E-1,2.734063314E0,-1.122706043E0,1.732705414E-1,2.960674542E0
3.091598750E-1,1.182950637E0,-1.294020984E-1,-9.640158266E-1,1.531484126E0
3.191468750E-1,1.611383437E0,1.092394077E0,-2.648996851E0,3.287410184E0
3.291348750E-1,2.077649038E0,1.516879714E0,-3.839895755E0,4.621942124E0
3.391218750E-1,1.626621573E0,6.867721429E-1,-3.256234875E0,3.704135429E0
3.491098750E-1,1.741726206E0,-4.462081893E-1,-2.236870474E0,2.869895720E0
3.590968750E-1,1.714308612E0,-1.438925512E0,-2.225354968E0,3.156194763E0
3.690848750E-1,2.112923536E-1,-2.522175129E0,-3.188950964E0,4.071292190E0
3.790718750E-1,-1.139772604E0,-3.631862347E0,-4.470878152E0,5.871818896E0
3.890598750E-1,-2.477143967E0,-5.099526340E0,-4.820282031E0,7.441540834E0
3.990478750E-1,-3.557512661E0,-6.172150104E0,-5.150966635E0,8.791119981E0
4.090348750E-1,-4.043464229E0,-6.772432864E0,-4.694982047E0,9.179232337E0
4.190240000E-1,-4.191380659E0,-6.553929432E0,-3.406377924E0,8.492648196E0
4.290110000E-1,-3.805610021E0,-6.216232263E0,-9.661985922E-1,7.352397629E0
4.389990000E-1,-2.738238226E0,-5.805701006E0,2.190573975E0,6.782531024E0
4.489860000E-1,-1.805132536E0,-5.879541399E0,4.019250324E0,7.347236468E0
4.589740000E-1,-8.738353890E-1,-6.893827493E0,5.080816419E0,8.608318145E0
4.689610000E-1,-2.864334601E-1,-7.128476257E0,6.259106387E0,9.490712863E0
4.789490000E-1,5.807951599E-1,-6.380140827E0,6.434866673E0,9.080254902E0
4.889370000E-1,1.966747822E0,-5.169307011E0,5.800637902E0,8.014813288E0
4.989240000E-1,3.162376539E0,-3.803562619E0,5.229622795E0,7.198379578E0
5.089120000E-1,4.289609789E0,-2.585619173E0,5.173894737E0,7.201066962E0
5.188990000E-1,5.697729245E0,-1.534531874E0,5.233394834E0,7.887162234E0
5.288870000E-1,7.236844459E0,-3.704405536E-1,4.780211062E0,8.680988523E0
5.388740000E-1,8.539812852E0,1.373123871E0,3.147868427E0,9.204506958E0
5.488620000E-1,9.098756382E0,3.490333708E0,6.716579676E-1,9.768363298E0
5.588490000E-1,8.691605986E0,5.164337463E0,-9.581832290E-1,1.015541782E1
5.688370000E-1,7.984537280E0,5.509935390E0,-1.341197635E0,9.793417926E0
5.788250000E-1,7.188882673E0,4.898002052E0,-1.401691759E0,8.811083814E0
5.888120000E-1,6.634818059E0,4.392190709E0,-1.732198899E0,8.143258741E0
5.988000000E-1,6.093286368E0,4.646251937E0,-2.931840706E0,8.204357729E0
6.087870000E-1,5.627315320E0,5.782989836E0,-4.568968118E0,9.272816121E0
6.187750000E-1,5.347406183E0,6.907940918E0,-5.508908619E0,1.032775265E1
6.287620000E-1,5.034487175E0,7.265441437E0,-5.662065908E0,1.049722300E1
6.387500000E-1,4.112216960E0,7.171555619E0,-5.791478239E0,1.009369895E1
6.487370000E-1,3.136537693E0,6.455694455E0,-5.671740126E0,9.147813709E0
6.587250000E-1,2.501019026E0,5.510023098E0,-4.472439358E0,7.524504271E0
6.687120000E-1,1.998664264E0,4.736199070E0,-3.605998066E0,6.279288377E0
6.787000000E-1,1.210211087E0,4.231608333E0,-3.931482156E0,5.901497429E0
6.886880000E-1,6.389515668E-1,3.818775612E0,-4.913136985E0,6.255415359E0
6.986750000E-1,-1.086354196E-2,2.997723039E0,-4.659653170E0,5.540652407E0
7.086630000E-1,-8.462780464E-1,1.556228845E0,-4.435862101E0,4.776495297E0
7.186500000E-1,-1.078068107E0,1.466897715E0,-4.134844515E0,4.517848926E0
7.286380000E-1,-1.204566185E0,1.083686989E0,-3.902303088E0,4.225319701E0
7.386250000E-1,-1.687475447E0,6.531576696E-1,-3.831889747E0,4.237637002E0
7.486130000E-1,-1.533490192E0,-1.190189636E0,-3.083594078E0,3.643720074E0
7.586000000E-1,-2.938570851E-1,-8.027029581E0,-3.093112761E0,8.607374886E0
7.685880000E-1,-4.154968877E0,-7.667142228E0,-5.376393463E-1,8.737155853E0
7.785750000E-1,-3.978213395E0,-6.897332314E0,-1.464141191E0,8.095868348E0
7.885630000E-1,-2.618875505E0,-6.838317536E0,-3.773015887E0,8.237520532E0
7.985500000E-1,-3.060625046E0,-5.200426478E0,-3.082387798E0,6.775911434E0
8.085380000E-1,-2.557938747E0,-4.562059340E0,-2.311890982E0,5.718415512E0
8.185260000E-1,-1.455607034E0,-4.716712347E0,-2.615977040E0,5.586546614E0
8.285130000E-1,-1.733553845E0,-4.268455732E0,-1.468949357E0,4.835569820E0
8.385010000E-1,-2.888535057E0,-4.397899638E0,8.421350017E-1,5.328634662E0
8.484880000E-1,-2.224803575E0,-3.729711408E0,4.623751266E0,6.343467026E0
8.584760000E-1,1.233594103E0,-4.494900852E-2,1.050988716E1,1.058213130E1
8.684630000E-1,2.186694932E0,1.126337457E-1,6.740322880E0,7.087049711E0
8.784510000E-1,1.226600833E0,8.083844344E-1,3.030453998E0,3.367742037E0
8.884380000E-1,3.363947604E0,3.698766773E0,2.447053319E0,5.566425161E0
8.984260000E-1,6.090012512E0,6.669887905E0,2.671436419E-1,9.035874212E0
9.084140000E-1,1.026366441E1,1.096604248E1,-2.387016301E0,1.520837735E1
9.184010000E-1,7.878196893E0,8.675412122E0,-2.084813046E-1,1.172058984E1
9.283890000E-1,1.867864974E0,2.204142146E0,4.282442272E-1,2.920711434E0
9.383760000E-1,-7.706045508E-3,7.952169433E-1,-1.379216962E0,1.592064320E0
9.483640000E-1,-3.058567411E-1,1.637095837E0,-5.980327517E-1,1.769540702E0
9.583510000E-1,-1.568600383E0,1.635950075E0,-1.452822590E0,2.692124308E0
9.683390000E-1,-2.433189570E0,1.503101043E0,-3.556340294E0,4.563691545E0
9.783260000E-1,-9.698952019E-1,1.476444464E0,-3.494590774E0,3.915705509E0
9.883140000E-1,3.605112505E-1,1.732849256E0,-2.016157964E0,2.682839511E0
9.983010000E-1,-1.073443544E-1,1.786633115E0,-1.918523057E0,2.623797137E0
