"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.937999998E-3,2.789531171E-2,1.157758055E0,-2.300855970E-1,1.180729115E0
1.492500000E-2,-4.180627629E-1,1.087637514E0,-1.085366017E-1,1.170261522E0
2.491099999E-2,-5.994647348E-1,7.869014718E-1,-1.263144761E-1,9.972598665E-1
3.489799998E-2,-4.899522328E-1,4.808067490E-1,-1.941152805E-1,7.133786249E-1
4.488499998E-2,-1.426393175E-1,4.061625096E-1,-1.781781095E-1,4.658984845E-1
5.487100000E-2,1.682442749E-1,4.483200574E-1,-3.362242556E-1,5.851014954E-1
6.485800000E-2,5.979853892E-1,6.672326486E-1,-5.894344211E-2,8.979199644E-1
7.484399999E-2,1.035738358E0,9.794428280E-1,1.960933936E-1,1.438928358E0
8.483099999E-2,1.652419050E0,1.101341048E0,-3.550131136E-1,2.017294013E0
9.481699998E-2,1.919522785E0,8.089770497E-1,-1.561345158E0,2.603230741E0
1.048040000E-1,1.070670794E0,1.381555264E-1,-2.491032566E0,2.714897078E0
1.147910000E-1,-1.076741374E-1,-2.476990186E-1,-2.972629128E0,2.984873943E0
1.247770000E-1,-1.008485071E0,-5.838107152E-1,-3.477971817E0,3.667991964E0
1.347640000E-1,-1.659912842E0,-1.014756502E0,-3.855902508E0,4.318914858E0
1.447500000E-1,-2.168836366E0,-1.568678005E0,-4.214545573E0,4.992694288E0
1.547370000E-1,-2.187103360E0,-1.968995200E0,-4.426555672E0,5.315520513E0
1.647240000E-1,-1.452302188E0,-2.156382966E0,-5.030613980E0,5.662706610E0
1.747100000E-1,-8.064099759E-1,-2.088039248E0,-6.256707859E0,6.645043129E0
1.846970000E-1,-2.470416453E-1,-1.310948088E0,-5.973562288E0,6.120707547E0
1.946830000E-1,6.314624530E-1,-3.926327104E-1,-3.432320266E0,3.511940729E0
2.046700000E-1,2.828073093E-1,-1.278942038E0,-3.582524711E-1,1.357946075E0
2.146560000E-1,-3.986611167E-1,-3.789356808E0,2.117548683E0,4.359147638E0
2.246430000E-1,-1.171031380E0,-6.174217095E0,1.388841771E0,6.435926716E0
2.346300000E-1,-2.935803949E0,-8.028947468E0,-7.948763430E-1,8.585730643E0
2.446160000E-1,-4.718375295E0,-9.089613676E0,-3.101831544E0,1.070072433E1
2.546030000E-1,-6.456501955E0,-9.281999935E0,-3.577830566E0,1.185929222E1
2.645890000E-1,-3.233156499E0,-7.447757621E0,-1.809385800E0,8.318429630E0
2.745760000E-1,3.033019464E-1,-3.658305795E0,1.100770506E0,3.832347723E0
2.845630000E-1,2.353980702E0,-1.391649604E0,3.997630829E0,4.843445676E0
2.945490000E-1,5.756653392E0,1.464863761E0,8.259667488E0,1.017383856E1
3.045360000E-1,8.412820684E0,5.082774067E0,1.086726430E1,1.465290338E1
3.145220000E-1,7.082705423E0,8.564224393E0,8.125413662E0,1.376709856E1
3.245090000E-1,7.212437596E0,1.251900683E1,3.231988226E0,1.480508480E1
3.344960000E-1,8.709503143E0,1.371955130E1,9.370198166E-1,1.627757780E1
3.444820000E-1,8.794837993E0,1.229025673E1,8.237884855E-1,1.513532997E1
3.544690000E-1,7.670815449E0,9.972197084E0,-7.341600251E-1,1.260258368E1
3.644550000E-1,7.390510456E0,8.476706777E0,-2.383332117E0,1.149584597E1
3.744420000E-1,6.599992043E0,7.656664018E0,-3.411490729E0,1.066877068E1
3.844280000E-1,5.839548199E0,7.189122409E0,-4.443053591E0,1.027251329E1
3.944150000E-1,6.419769747E0,6.468596921E0,-5.170933122E0,1.047829848E1
4.044020000E-1,7.167254992E0,5.803260963E0,-5.804050922E0,1.089653105E1
4.143880000E-1,5.479205933E0,3.931393570E0,-6.544423029E0,9.397181803E0
4.243750000E-1,2.409422100E0,1.964668845E0,-5.450156381E0,6.274507399E0
4.343610000E-1,3.271692574E-2,8.283585231E-1,-3.273232731E0,3.376581222E0
4.443480000E-1,-1.087065217E0,-2.215948552E-1,-2.487127796E0,2.723347157E0
4.543350000E-1,-2.073770580E0,-1.636478371E0,-3.688189160E0,4.536664541E0
4.643210000E-1,-2.756221923E0,-4.852666835E0,-2.891530586E0,6.285386530E0
4.743080000E-1,-4.764532923E0,-7.803462460E0,-1.170683910E0,9.217662456E0
4.842940000E-1,-5.763292320E0,-8.783853414E0,3.191117942E-1,1.051063516E1
4.942810000E-1,-5.433502341E0,-7.753869885E0,3.289196799E0,1.002318619E1
5.042670000E-1,-5.698753678E0,-6.245836716E0,4.985607376E0,9.815424121E0
5.142540000E-1,-6.244770184E0,-5.544329297E0,5.431664561E0,9.961913566E0
5.242410000E-1,-7.751102398E0,-6.489076209E0,3.436009274E0,1.067679063E1
5.342270000E-1,-9.145047619E0,-8.622750928E0,1.986171688E0,1.272511719E1
5.442140000E-1,-9.255641271E0,-9.729228902E0,3.066199489E0,1.377411956E1
5.542000000E-1,-8.184434288E0,-9.606293532E0,5.421378724E0,1.373525345E1
5.641870000E-1,-6.137990085E0,-9.176260056E0,9.174616404E0,1.435452044E1
5.741740000E-1,-5.191643375E0,-8.834245888E0,9.772222309E0,1.415956886E1
5.841600000E-1,-4.210353119E0,-8.623439146E0,9.465502519E0,1.347911399E1
5.941470000E-1,-3.569153298E0,-8.819103354E0,8.859674844E0,1.300035682E1
6.041330000E-1,-3.346490157E0,-8.920996934E0,7.139901717E0,1.190635877E1
6.141200000E-1,-2.691414308E0,-8.719806522E0,5.152368797E0,1.047977295E1
6.241070000E-1,-1.860305108E0,-7.039635417E0,2.679291860E0,7.758595670E0
6.340930000E-1,-1.382749557E-2,-4.383069052E0,1.652481616E-1,4.386204791E0
6.440800000E-1,2.836930456E0,-2.692322088E0,-7.785726978E-1,3.987850058E0
6.540660000E-1,6.060523834E0,-2.849736443E0,-7.619866320E-1,6.740294545E0
6.640530000E-1,8.006229281E0,-2.488570889E0,1.376076715E0,8.496250908E0
6.740390000E-1,9.938824686E0,-1.896255837E0,4.067764673E0,1.090516996E1
6.840260000E-1,1.162237724E1,-2.147686548E0,5.442939747E0,1.301221746E1
6.940130000E-1,1.328737423E1,-1.440115128E0,4.678148498E0,1.416027256E1
7.039990000E-1,1.428673121E1,-2.823766619E-3,2.266063868E0,1.446532897E1
7.139860000E-1,1.440964437E1,2.174310675E0,-6.796721613E-1,1.458860624E1
7.239720000E-1,1.422353217E1,3.775781620E0,-2.327661507E0,1.489910743E1
7.339590000E-1,1.331085899E1,4.297542706E0,-3.232772337E0,1.435613657E1
7.439450000E-1,1.225295501E1,4.046907947E0,-4.128921871E0,1.354844515E1
7.539320000E-1,1.116113249E1,3.892652551E0,-4.811469693E0,1.276220447E1
7.639190000E-1,1.060864897E1,4.024447037E0,-4.846970770E0,1.233826294E1
7.739050000E-1,9.579765884E0,4.578399092E0,-1.067744380E1,1.505793673E1
7.838920000E-1,7.275562382E0,3.664943262E0,-1.313304984E1,1.545453381E1
7.938780000E-1,4.507842495E0,2.124482019E-1,-1.203270910E1,1.285114262E1
8.038650000E-1,3.871485922E0,-1.255562531E0,-8.387435582E0,9.322763332E0
8.138520000E-1,3.980029541E0,-3.567865741E-1,-6.550979512E0,7.673543143E0
8.238380000E-1,3.492604474E0,2.735884430E-1,-6.287385861E0,7.197524409E0
8.338250000E-1,1.848625295E0,2.565207128E-1,-4.385184867E0,4.765822561E0
8.438110000E-1,1.900449752E0,2.315821188E0,-1.686797901E0,3.438026206E0
8.537980000E-1,2.070886148E0,4.695206580E0,-1.333430048E0,5.302034512E0
8.637850000E-1,3.548984497E0,4.893876842E0,-8.144130599E-1,6.099884436E0
